Bezbariérový byt,Celková plocha,Celková plocha nebytových prostor,Cena,Charakter okolní zástavby,Další nebytové prostory,Dispozice,Doprava,Druh objektu,Druh pozemku,Druh prostor,Dílny a provozovny,Elektřina,Energetická náročnost budovy,GPS coordinates,Garáž,Images,Inženýrské sítě,K nastěhování,Měrná vypočtená roční spotřeba energie v kWh/m²/rok,Občanská vybavenost,Odpad,Ostatní rozvody,Plocha kanceláří,Plocha parcely,Plocha skladů,Plocha zahrady,Plyn,Podlahová plocha,Poloha objektu,Poznámka k ceně,Počet parkovacích míst,Počet podlaží pod zemí,Počet podlaží v objektu,Property Description,Property Name,Rok výstavby,Stav objektu,Telekomunikace,Topení,Typ domu,Typ nemovitosti,URL,Umístění objektu,Umístění v chráněných lokalitách,Upozornění,Užitná plocha,Vlastnictví,Voda,Vybaveno,Výtah,Zastavěná plocha,id,listing_hash,Číslo podlaží,Číslo zakázky
,,,"15 750 000
																		CZK/ za nemovitost",,,,,Smíšená,,,,,G,"50°07'11.6""N,14°41'58.9""E",Ano,N/A,,1. 6. 2025,,,Kanalizace,,,1 063 m²,,656 m²,Plynovod,,Řadový,,2,1,2,"Nabízím k prodeji prostorný rodinný dům 230 m2 se zahradou a celkovým pozemkem 1063m2 a potenciálem další výstavby v obci Jirny.Rodinný dům s celkovou podlahovou plochou 230 m² disponuje dvěma podlažími. V přízemí se nachází 4 místností, z toho 3 jsou neprůchozí a jedna průchozí. V patře jsou tři další pokoje – obývací pokoj, dvě ložnice a kuchyň, dále je zde také koupelna. V obou patrech je koupelna a WC.Dům prošel rekonstrukcí rozvodů a elektroinstalace, byl instalován nový plynový kombinovaný kotel značky Bosch s vysokou energetickou účinností (instalace včetně nového komína byla dokončena v říjnu 2023). V témže roce byla provedena také výměna oken (9/2023), rekonstrukce odpadů (11/2023), nové dřevěné obložení v zadní části domu a u přístavku, podlahy na balkoně a terase, a nová střecha na garáži (5/2023). V roce 2024 byl zrealizován nový rozvod s uzávěrem pro přepínání mezi obecním vodovodem a studnou. Kuchyň v patře je z roku 2023. Okna jsou nová a technický stav domu je dobrý, přesto je třeba počítat s dokončením kosmetických úprav. Dům je téměř celý podsklepený – sklepní prostory jsou rozlehlé, je zde kotel a boiler a další prostor na skladování.Pozemek má celkovou výměru 1 063 m², z čehož 656 m² tvoří zahrada. Ta má příjezdovou cestu i z druhé strany, což představuje významnou přidanou hodnotu – pozemek lze využít jako stavební a případně zde vystavět další rodinný dům, nebo jej prodat samostatně. Na pozemku se nachází garáž s dílenským zázemím a další prostor, který může sloužit jako sklad nebo být přestavěn například na wellness zónu se saunou či vířivkou.Dům je napojen na veřejný vodovod, kanalizaci a elektřinu. Vytápění je zajištěno efektivním plynovým kotlem.V domě je zaveden bezdrátový internet od T-Mobile s rychlostí 100 Mbps.Čtvrtletní zálohy za vodu činí 2 720 Kč.Pokud máte zájem o prohlídku, prosím vyplňte formulář pod inzerátem a budeme vás kontaktovat s možnými termíny.V případě většího zájmu bude nemovitost prodána nejlepší nabídce.","Prodej domu 230 m², Jirny(ID 205-NP11551)",,Dobrý,,,Patrový,Domy a vily,https://www.remax-czech.cz/reality/detail/415585/prodej-domu-230-m2-jirny,Klidná část obce,,Prodávající si vyhrazuje právo vybrat kupujícího na základě jím zvolených kritérií.,230 m²,,"Zdroj pro celý objekt, Dálkový rozvod",,,129 m²,415585,4e68a24fcaaa301bbafe63e019514bbab5de9a88f745935fcaea9cf92a4e5974,,ID 205-NP11551
,200 m²,,"16 750 000
																		CZK/ za nemovitost",,,,"Vlak, Dálnice, Silnice, MHD, Autobus",Cihlová,,,,,G,"50°13'48.1""N,14°05'18.1""E",,N/A,,,,,Kanalizace,,,,,,Plynovod,,,,,,3,"Dovolujeme si Vám ve výhradním zastoupení majitele nabídnout zajímavou investiční příležitost v podobě bytového domu v samotném centru města Slaného. Jedná se řadový bytový dům, který Vám nabídne, jak komfortní bydlení na dobré adrese, tak i zajímavý a jistý měsíční příjem. V přízemí domu se nachází dva nebytové prostory - větší komerční prostor je o velikosti 58m2 a jeho dispozice zahrnuje kancelář (obchod), zázemí, kuchyňskou linku a WC. Tento prostor je dlouhodobě pronajatý prověřeným nájemníkem.Menší komerční prostor o velikosti 15m2 je vhodný jako kancelář nebo kontaktní místo a má zázemí s WC ve dvoře (6m2). Dále je v přízemí k dispozici malý byt - garsoniéra s patrem na spaní. Prvnímu patru vévodí luxusní byt 3+1 s velkorysou dispozicí o velikosti 104 m2. Tento byt prošel zdařilou rekonstrukcí a díky prostorné terase, technické místnosti a úložným prostorům poskytne komfortní bydlení i pro větší rodinu. Ve druhém patře je velká půda, která nabízí rozšíření obytného prostoru, v případě investice možnost rozšíření o dvě bytové jednotky (ateliéry). Benefitem této nabídky je menší dvůr se vstupem do dvoupodlažního původního sklepení. Součástí této nabídky je i další stavba (60m2), která je přístupná z vedlejší ulice Štechova a v současné době je tato budova dlouhodobě pronajata jako skladové prostory.Zde se nabízí i možnost navýšení budovy o další patro. Díky jedinečné poloze domu je veškerá občanská vybavenost v pěší dostupnosti. Pro více informací o této atraktivní nabídce a domluvení prohlídky kontaktujte makléřku nemovitosti.","Prodej nájemního domu 200 m², Slaný(ID 023-NP08474)",,Velmi dobrý,,,,Nájemní domy,https://www.remax-czech.cz/reality/detail/415608/prodej-najemniho-domu-200-m2-slany,Centrum obce,,Prodávající si vyhrazuje právo vybrat kupujícího na základě jím zvolených kritérií.,200 m²,,Dálkový rozvod,,,166 m²,415608,e5b686e0af0366788fc8acb95f4143d2611ab27c368708132b32c345ad2ff068,,ID 023-NP08474
,,,"3 990 000
																		CZK/ za nemovitost",Obchodní a obytná,,3+1,"Vlak, Dálnice, Silnice, MHD",Cihlová,,,,230 V,C,"49°48'23.5""N,18°14'57.6""E",,N/A,,1. 7. 2025,87,"Škola, Školka, Zdravotnická zařízení, Supermarket, Kompletní síť obchodů a služeb",Kanalizace,,,,,,Plynovod,93 m²,,včetně advokátní úschovy a provize,,1,6,"Ve výhradním zastoupení majitele nabízíme ke koupi družstevní byt 3+1 v Ostravě - Vítkovicích na ulici Závodní. Bytová jednotka o podlahové ploše 86 m2 je situována ve 4.np šestipodlažního cihlového domu, okna orientována na východ, jih a západ, k dispozici je lodžie s výhledem do klidného dvora. Byt je ve velmi pěkném stavu po částečné rekonstrukci, nabízíme ho bez vybavení. Dům je po celkové revitalizaci, instalován byl nový výtah a kamerový systém.Nemovitost se nachází v těsné blízkosti hokejové arény, veškerá občanská vybavenost je v blízkém okolí, lokalita je výborně dopravně dostupná. Parkování u domu, ve vedlejší ulici nebo na 100 m vzdáleném parkovišti.","Prodej bytu 3+1 v družstevním vlastnictví 93 m², Ostrava(ID 344-NP00407)",,Velmi dobrý,Internet,,,Byty,https://www.remax-czech.cz/reality/detail/415389/prodej-bytu-3-1-v-druzstevnim-vlastnictvi-93-m2-ostrava,Rušná část obce,,Prodávající si vyhrazuje právo vybrat kupujícího na základě jím zvolených kritérií.,86 m²,Družstevní,Dálkový rozvod,,Ano,,415389,62c88fa9fe8f7246d997f01e737f79c2a45b61efb6fff6a4b6969e17ec4cd961,4,ID 344-NP00407
,,,"11 990 000
																		CZK/ za nemovitost",Obytná,,,"Dálnice, Silnice, MHD, Autobus",Dřevěná,,,,230 V,B,"49°55'49.3""N,14°00'10.2""E",,N/A,,,,,Kanalizace,"Satelit, Kabelová televize",,416 m²,,350 m²,,,Řadový,,2,,2,"Moderní dům 4+kk s bazénem a výhledem do krajiny – Levín u BerounaHledáte dům, který má styl, komfort i kus přírody za okny? Jeden takový pro vás máme – postavený v roce 2020, promyšlený do detailu a připravený k nastěhování.Na pozemku o velikosti 416 m² najdete vše, co dělá domov domovem. Upravenou zahradu pro chvíle klidu, prostornou terasu ideální pro grilování s přáteli, a když teplota stoupne? Bazén se postará o příjemné ochlazení – a navíc vypadá skvěle i na Instagramu.Dispozice 4+kk nabízí vzdušných 100 m². Obývací pokoj s krbovými kamny navodí příjemnou atmosféru v každém ročním období. Kuchyně? Moderní, plně vybavená, a navazuje na jídelní kout s přímým vstupem na terasu. Ranní káva s výhledem – vaše nová rutina.V patře vás čeká útulná ložnice s vestavěnými skříněmi, dětský pokoj plný fantazie a praktická pracovna, kde zvládnete i pondělní poradu bez ztráty nervů. Koupelna je moderní, elegantní a především funkční – tak, jak to má být.Technické vybavení potěší každého, kdo má rád chytrá řešení – podlahové vytápění v celém domě a elektrické rolety ovládané přes mobil. Energetická třída B zase znamená nižší náklady na provoz a vyšší ohleduplnost k přírodě.A lokalita? Do centra Berouna dojedete za 5 minut, Králův Dvůr s kompletní občanskou vybaveností a nájezd na D5 doslova za rohem. Na okraji Prahy jste odtud za krásných 20 minut.Zní to jako místo, kde byste si dokázali představit nový začátek?Ozvěte se mi – rád vám dům ukážu osobně. A pokud bude potřeba, pomohu i s výhodným financováním.Pokud jste se také zamilovali, tento dům by vám neměl utéct.","Prodej domu 100 m², Králův Dvůr(ID 273-NP03974)",,Novostavba,"Telefon, Internet",,Patrový,Domy a vily,https://www.remax-czech.cz/reality/detail/415650/prodej-domu-100-m2-kraluv-dvur,Klidná část obce,,Prodávající si vyhrazuje právo vybrat kupujícího na základě jím zvolených kritérií.,100 m²,,Dálkový rozvod,Ano,,67 m²,415650,e00687f61112a0410ca58c5ab3056120b9eb4c7144a614f2f47dc4efd5ecc64e,,ID 273-NP03974
,,,"12 500 000
																		CZK/ za nemovitost",,,,"Vlak, MHD, Autobus",Cihlová,,,,"230 V, 400 V",F,"50°21'49.3""N,13°09'32.1""E",Ano,N/A,,30. 5. 2025,,,Septik,,,1 966 m²,,1 726 m²,,,Samostatný,,,,1,"Máme pro Vás na prodej tento dům k okamžitému nastěhování, který je umístěn v nádherné přírodě.Dům je patrový o dispozici 4+1 a do aktuální podoby prošel kompletní rekonstrukcí.přízemí domu:- zádveří- chodba- samostatná kuchyň- koupelna se sprchovým koutem a WC vč. prostoru na pračku a sušičku- jídelní část s obývacím pokojem a dobovým krbem1.patro:-	3x pokoj-	koupelna se sprchovým koutem a WCpůdní prostory:-	velký potenciál pro vybudování podkrovního bydleníZdrojem vytápění je elektrokotel a krbová kamna s výměníkem. V přízemí je podlahové vytápění, v 1. patře radiátory.Dům napojen na obecní vodovodní řád, kanalizace formou septiku s trativodem. Voda na zahradu a do přístavby z lesního pramene.V druhé části domu, se samostatným vstupem, se nachází dílna, technická místnost (elektrokotel, bojler na ohřev vody, systém podlahového vytápění) a další podkrovní prostor.Pozemek je oplocen se vstupem pomocí pojezdové brány na dálkové ovládání. K využití garáž velikostí na 2 auta vč. úložného prostoru.Jeden ze skvostů této nemovitosti je zděná stavba určená pro posezení, oslavy, relax ….., kde je k dispozici kuchyň se spotřebiči, krbová kamna, gril, posezení pro spoustu „přátel“ a v podkroví možnost přespání.Venkovní posezení je možné pod dřevěnou pergolou, vedle které je umístěna solární sprcha a je zde dostatek místa na případný bazén.A samozřejmě nechybí klasický zahradní domek pro potřebné zahradní náčiní.V horní části zahrady stylové ohniště s posezením. Sousedy v této části zahrady jsou koně a nádherná příroda.Kotvina je vesnice a část obce Okounov v okrese Chomutov v Ústeckém kraji. Město Kadaň je vzdáleno 11 km, město Chomutov cca 30 km. Několikadenní autobusový spoj na trase Kotvina – Kadaň – Kotvina. Lékař v obci Okounov (praktický, dětský, zubní), další obč. vybavenost v Kadani (školka, škola, obchody, pošta, úřady ….).Pokud hledáte klidné bydlení s možností okamžitého nastěhování, prostornou zahradou, zastřešenou garáží, vlastními prostory na „oslavy“ a především okolní přírodou, je právě tato nemovitost pro Vás.Pro domluvení termínu prohlídky, mně neváhejte kontaktovat.","Prodej domu 200 m², Okounov(ID 032-NP09188)",,Velmi dobrý,Internet,,Patrový,Domy a vily,https://www.remax-czech.cz/reality/detail/415655/prodej-domu-200-m2-okounov,Klidná část obce,,Prodávající si vyhrazuje právo vybrat kupujícího na základě jím zvolených kritérií.,200 m²,,,,,149 m²,415655,59f04ed9b0c0dcc386465317dad1fa5e066a5c5994a0436b9736ad683517cec6,,ID 032-NP09188
,4 428 m²,,Cena na vyžádání v kanceláři,,,,"Vlak, Dálnice, Silnice, Autobus",,Pro komerční výstavbu,,,"230 V, 400 V",,"49°01'45.4""N,17°28'06.6""E",,N/A,"Vodovod, Kanalizace, Plyn, Elektřina",1. 7. 2025,,,Kanalizace,,,,,,Plynovod,,,cena vč. právních služeb a provize RK,,,,"Představujeme Vám investičně zajímavou nemovitost, která se nachází v okrajové části města Kunovice, okres Uherské Hradiště, ve směru na Hluk a také v dobré dostupnosti na dálnici D 55. Nabízené nemovitosti  se nacházejí v části bývalé kunovické ,,Abrhámovy cihelny“, kdy dvě rozsáhlejší budovy slouží v dnešní době k provozování soukromých škol, a další starší administrativní budova s rozsáhlými pozemky je v současnosti nevyužitá.Nabízíme Vám tedy koupi nemovitosti jako celek, tzn. všechny budovy a pozemky o celkové evidované výměře 11 035 m². Anebo přicházíme s pracovním návrhem na dělení a vytvoření třech funkčních celků pracovně označených 1, 2, 3 se zajištěním přístupových cest a parkování na plochách pracovně označených 4 a 5. Budoucí využití stávajících budov a pozemků záleží již na budoucích nových vlastnicích buďto s možností koupě celku a nebo, dle jednotlivě navržených ploch 1, 2, 3 se spolupodílem na plochách 4 a 5.Předmětem funkčního celku (3) je stavba ,,Kunovice č.p. 1127“. Od roku cca 1994 do současnosti je cit. budova provozována soukromou školou v nájemním vztahu na dobu určitou do 30.06.2025. V budově naleznete v 1.NP - 9 větších místností, prostornou vstupní chodbu a sekretariát, prostorná hala – čítárna, dále sociální zařízení, a dále v 1.PP se nachází sklepy/sklady, sklady a schodiště.Dle dostupných výkresů (půdorysy 1.PP, 1.NP, 2.NP a 3.NP - půdní vestavba) z pasportu roku 2013 je pravděpodobná výměra obvodu budovy cca 610 m² s užitnou plochou cca 662 m². Uvedené údaje mají pouze informativní charakter.Inženýrské sítě (vše pozastaveno):- elektřina- plyn- voda- oddílná kanalizaceRádi vás blíže provedeme touto zajímavou nemovitostí a sdělíme vám další pro vás potřebné informace či zajistíme odpovědi na vaše případné dotazy. Zajistíme Vám možnost financování koupě této nemovitosti – bezplatná konzultace s našim finančním poradcem. Více fotografií na stránkách RE/MAX. Bližší informace u makléře nabídky.","Prodej pozemku 4428 m², Kunovice(ID 160-NP02723)",,,,,,Pozemky,https://www.remax-czech.cz/reality/detail/415611/prodej-pozemku-4428-m2-kunovice,Okraj obce,,Prodávající si vyhrazuje právo vybrat kupujícího na základě jím zvolených kritérií.,,,Dálkový rozvod,,,,415611,62e3439c7c7295cdeafd98ded08d664a31c399a1db88efe0d0deb4b30eb754b3,,ID 160-NP02723
,,,"6 300 000
																		CZK/ za nemovitost",Obytná,,3+1,"Silnice, MHD, Autobus",Panelová,,,,230 V,C,"49°09'59.1""N,16°34'42.4""E",,N/A,,,349,,Kanalizace,,,,,,Plynovod,69 m²,,Včetně realitních služeb a advokátní úschovy.,,,12,"Ve výhradním zastoupení majitele, mám pro Vás v nabídce tento útulný byt v družstevním vlastnictví o dispozici 3+1 s výměrou 68 m2 se zaskleným balkónem a výhledem, který Vás okouzlí každý den.Některá rána totiž mohou začínat jinak...Třeba když celé Brno leží před Vámi a slunce Vás vítá skrz zasklený balkón.Přesně takový pocit na Vás čeká v tomto příjemném bytě po částečné rekonstrukci na Rolnické ulici v brněnských Bohunicích.Byt je v nejvyšším patře panelového domu, což Vám zajistí nejen klid, ale především výhled, na který jen tak nezapomenete – celé Brno budete mít jako na dlani a východy slunce si z prostorného zaskleného balkónu zamilujete hned první ráno.Bytová jednotka je po částečné rekonstrukci – nové elektrické rozvody ve většině místností, zrekonstruovaný obývací pokoj, ložnice i vstupní chodba. Kuchyně, koupelna a toaleta zůstávají v původním, ale velmi zachovalém stavu – dává Vám to tak volnost proměnit si je přesně podle svého vkusu, klidně postupně, v tempu, které Vám bude příjemné.Přesto už teď působí útulně, harmonicky a klidně. Je čistý, světlý a připravený přivítat nové majitele – ať už hledáte nový začátek, pohodlný život ve městě nebo byt jako investici.Všechny kousky vybavení, které vidíte na fotografiích, jsou součástí prodeje.Můžete se tak hned zabydlet, nebo si vybavení přizpůsobit podle sebe.Lokalita? Praktická a oblíbená – Bohunice jsou skvělou adresou pro každodenní život.Výborná dostupnost do centra města, blízko univerzitní nemocnice, obchodů, škol i MHD.Zároveň však dostatek klidu, zeleně a prostoru pro vlastní tempo.Věřím, že tento byt je jako stvořený proto, aby někomu nabídl nový domov. Možná změnu. Možná první investici.Ať už je Váš příběh jakýkoli, moc ráda Vám pomohu a tímto bytem Vás osobně provedu.Jsem součástí RE/MAX už od roku 2008 a stejně jako se s láskou starám o svou vlastní cestu, starám se ráda i o ty Vaše.Těším se na setkání a na další nový příběh...Nina TedováREMAX DeluxV případě většího počtu zájemců bude nemovitost prodána nejvýhodnější nabídce dle kritérií stanovených majitelem, který si zároveň vyhrazuje právo zvolit kupujícího. Všechny uvedené údaje mají pouze informativní charakter a nepředstavují nabídku ve smyslu § 1731 nebo § 1732 občanského zákoníku, ani veřejný příslib dle § 1733 občanského zákoníku. Z této nabídky tak nevzniká nárok na uzavření smlouvy.","Prodej bytu 3+1 v družstevním vlastnictví 69 m², Brno(ID 268-NP03070)",,Dobrý,,,,Byty,https://www.remax-czech.cz/reality/detail/415646/prodej-bytu-3-1-v-druzstevnim-vlastnictvi-69-m2-brno,Sídliště,,Prodávající si vyhrazuje právo vybrat kupujícího na základě jím zvolených kritérií.,69 m²,Družstevní,Dálkový rozvod,,Ano,432 m²,415646,281592bff6a5eeb40624b849b502c471ddc0b92e09f21fe6f8d58870abeebe3e,12,ID 268-NP03070
,169 m²,,"6 290 000
																		CZK/ za nemovitost",Rekreační,,,"Vlak, Silnice, Autobus",Cihlová,,,,"230 V, 400 V",G,"50°35'53""N,16°12'38.7""E",,N/A,,27. 5. 2025,,,Septik,Satelit,,1 482 m²,,1 333 m²,,,Řadový,,,,2,"Prodej rodinného domu/domu k rekreaci 149 m2 (užitná plocha objektu), s pozemkem 1333 m2 (zahrada), prostornou garáží/dílnou (15 m2) a sklepem 15 m2Nabízíme Vám ve výhradním zastoupení realitní kanceláře RE/MAX Vox k prodeji tradiční venkovské stavení broumovského typu. Původní dům pochází z 19. století, roku 1910 prošel rekonstrukcí, když ta poslední proběhla před necelými 10 lety. Jedná se o dvoupodlažní, zděný RD/chalupu, o aktuální dispozici 6 + 2kk a celkové výměře užitné plochy domu 149 m2. Nemovitost se nachází ve velice atraktivní, zatím málo dotčené lokalitě, na pomezí Adršpašsko-teplických skal a Broumovských stěn, v samém srdci CHKO Broumovsko.Dům se nachází na polosamotě, obklopený množstvím znamenitých pískovcových skal a barokních kostelů, jakož i bohatou sítí stezek pro pěší turisty i cyklisty, což poskytuje majitelům ideální prostředí pro aktivní odpočinek, s klidným a pohodovým zázemím. V okolí domu vede i nejslavnější závod v maratonu na horských kolech, pořádaný v ČR, ikonické Rallye Sudety. V bezprostřední blízkosti se nachází železniční stanice, z roku 1875, kterou si v dobách minulých ""vymohl"", ač ode vsi poměrně vzdálena, sám majitel původního, nabízeného, objektu.Prostorové uspořádání domu se skládá ze dvou obytných podlaží, přičemž 1.NP , o dispozicí 3 +1 tvoří zádveří, obývací pokoj, s navazující kuchyní, ložnici, pokoj a koupelna s vanou a samostatná toaleta, technické místnosti a samostatná garáž/dílna. Ve 2.NP naleznete tři prostorné pokoje, kuchyně a koupelna se sprchovým koutem. Objekt garáže/dílny disponuje vlastním, venkovním, přístupem a je spojen s vnitřními prostorem domu.Rozvody elektřiny jsou nové, kompletně v Cu provedení, voda z vodovodního řadu + možnost čerpána z 20 m hlubokého, vlastního vrtu, kanalizace je řešena dvoukomorovou, objemnou nádrží.Vytápění domu je řešeno tepelným čerpadlem (vzduch/voda), zn. ACOND, o výkonu 13,6 kW, s alternativní možností využití kotle na tuhá paliva. Zájemci o potenciálně další zdroj tepla mohou zabudovat do objektu krbová/kachlová kamna. Objekt je osazen novými plastovými okny, novou střešní krytinou (tašky, potažené plastem), Al okapy a funkčním zabezpečovacím systémem. Satelitní a internetové připojení je ve výborné kvalitě. Celkově se objekt nachází ve výborném stavebně technickém stavu, připraven ihned k nastěhování, bez nutnosti jakýchkoliv úprav.Dům stojí na polosamotě, obklopen udržovanou zahradou, která poskytuje naprosté soukromí a klid (stranou komunikace), s udržovaným trávníkem.Vedle domu se kromě železniční, nachází i autobusová zastávka, obojí s pravidelným provozem. V blízkém Meziměstí se nachází příjemné koupaliště, k polským sousedům na nákupy/výlety je to coby kamenem dohodil.V případě více vážných zájemců bude kupující vybrán na základě parametrů stanovených prodávajícím.Pokud Vás tato nabídka zaujala a máte zájem se dozvědět více informací, tak mě neváhejte kontaktovat. Budu se těšit na osobní setkání během prohlídek nemovitosti.","Prodej chaty / chalupy 169 m², Teplice nad Metují(ID 297-NP00245)",,Velmi dobrý,Internet,,Patrový,Chaty a rekreační objekty,https://www.remax-czech.cz/reality/detail/415659/prodej-chaty-chalupy-169-m2-teplice-nad-metuji,,Ochranné pásmo,Prodávající si vyhrazuje právo vybrat kupujícího na základě jím zvolených kritérií.,169 m²,,"Zdroj pro celý objekt, Dálkový rozvod",,,149 m²,415659,b02e155977965cf3833453b54fce1df243a931d260cf776274cbd7522c404beb,,ID 297-NP00245
,54 m²,,"2 950 000
																		CZK/ za nemovitost",Rekreační,,,"Vlak, Silnice, Autobus",Cihlová,,,,400 V,G,"49°15'25.7""N,16°40'44.7""E",,N/A,,4. 6. 2025,,,,,,400 m²,,362 m²,,,Samostatný,"včetně realitních, právních služeb a vkladu na katastr nemovitostí",1,1,3,"Bílovice nad Svitavou, místo, kde lesy šeptají příběhy a řeka nese po staletí tisíce vzpomínek, kouzelné místo lesů, vod a strání, nádherná lokalita uprostřed přírody, která inspirovala S.K.Neumanna k vytvoření stejnojmenné básnické sbírky.Zde na chvíli utichne ruch světa a rodí se krása v podobě slov, tonů a obrazů.Dovoluji si vám nabídnout ke koupi krásnou zděnou podsklepenou chatu s obytným podkrovím orientovanou na západ na ulici Mladova č.e.7 jen kousek za Bílovickým mlýnem, v srdci přírody, na místě, kde se minulost potkává s budoucností v krásném údolí.Čeká na Vás nemovitost připravená k novému příběhu, k Vašemu tichému útočišti, která Vám nabídne prostor pro rekreaci nebo k trvalému domovu v prostředí, kde najdete v současné době již mnoho nemovitostí, které slouží k trvalému bydlení.Hlavní přednosti chaty:– dispozice 2+kk, podlahová plocha 42 m²– z obývacího pokoje vstup po schodech do obytného podkroví– u vstupu do chaty malá krytá terasa – ideální pro relax při nepřízni počasí– sklep 9 m² v suterénu stavby pro rodinnou rekreaci se vstupem vedle chaty– krytí sklad na nářadí se vstupem z obou stran chaty– vlastní studna s užitkovou vodou, nový atest vody vyhotovenVybavení a technické parametry:– Kuchyňská linka součástí obytného prostoru s keramickou dlažbou a keramickými obklady– Vinylová podlaha v obytných místnostech, keramická dlažba a obklady na toaletě– Keramická dlažba v obývacím pokoji– Dřevěná podlaha v podkroví– Vytápění litinovými kamny s velkou výhřevností– Nízké provozní náklady– Rekonstrukce v roce 2016Bílovice bývaly oblíbeným místem výletů obyvatel města Brna již za první republiky.Zejména před druhou světovou válkou se staly Bílovice vyhledávaným letním sídlem a výletním místem řady českých umělců.V současné době jsou Bílovice častým výletním cílem turistů a cyklistů, kteří tudy projíždějí nejen z Brna údolím řeky Svitavy, ale i snílků a možná právě tady začíná Váš nový příběh.V Bílovicích se nespěchá, zde se žije, je to místo, kde příroda dává smysl každému dni.V případě více zájemců bude nemovitost prodána nejlepší nabídce a majitel si vyhrazuje právo vybrat kupujícího na základě jim zvolených kritérií. Veškeré zveřejněné údaje obsažené v tomto inzerátu mají pouze informativní charakter a nejsou nabídkou ve smyslu § 1731 nebo § 1732 občanského zákoníku, ani se nejedná o veřejný příslib dle § 1733 občanského zákoníku.Prohlídkový den nemovitosti ve středu 4.6.2025Zaujala Vás tato nemovitost?Zavolejte mi!Jsem makléř ze štatlu a plním Vaše realitní sny.","Prodej chaty / chalupy 54 m², Bílovice nad Svitavou(ID 268-NP03068)",,Velmi dobrý,,,Patrový,Chaty a rekreační objekty,https://www.remax-czech.cz/reality/detail/415591/prodej-chaty-chalupy-54-m2-bilovice-nad-svitavou,Klidná část obce,,Prodávající si vyhrazuje právo vybrat kupujícího na základě jím zvolených kritérií.,54 m²,,,Ano,,38 m²,415591,4caa56b37c3abf0a6b974b018558492e7818f8bd321aec66ab15da484584a31b,,ID 268-NP03068
,,,"5 995 000
																		CZK/ za nemovitost",Obytná,,,,Smíšená,,,,"230 V, 400 V",G,"50°25'29.1""N,14°14'50.5""E",Ano,N/A,,,,,Kanalizace,,,472 m²,,345 m²,Plynovod,,Rohový,"aukce, včetně provize, hypotečního a právního servisu i advokátní úschovy kupní ceny",,,2,"Roudnice nad Labem je město ležící na levém břehu řeky Labe v okrese Litoměřice. Podle statistických údajů trvale žije na území města přibližně 13 tisíc obyvatel. Roudnice se rozkládá na ploše 16,67 km² a patří k ní vesnice Podlusky. Historické jádro města a okolní zástavba jsou chráněny jako městská památková zóna.Jedná se o město s velmi dobrou občanskou vybaveností pro život a nedalekým nájezdem na dálnici D8.V exkluzivním zastoupení majitele nabízíme k prodeji rodinný dům nacházející se na adrese Čechova 1116. Tento krajový patrový rodinný dům je určen k celkové revitalizaci a představuje budoucí Vaše ideální místo pro život Vaší rodiny s dětmi, kde si užijete nejen prostor, ale také bezpečí a rodinnou atmosféru.Dům s celkovou užitnou plochou 85 m² a zastavěnou plochou 103 m² se nachází na rovinatém pozemku o celkové velikosti 472 m², který nabízí dostatek místa pro hry a aktivity dětí. Prostorná zahrada je skvělým místem pro rodinné oslavy, grilování či relaxaci či pěstování plodin. U domu je zahrada osázena stromy a keři, zahradní domek na nářadí a zděná skladovací místnostDům postaven v roce 1927 disponuje třemi pokoji + kuchyní a šatnou. Prostorné a vzdušné místnosti zajišťují, že se zde každá rodina bude cítit pohodlně. Topení zajištuje plynový kotel. Okna kombinace původních a plastových. Střecha je z betonových tašek, stáří dvacet let.Na místě se nachází také garáž, která poskytuje parkování pro vaše jízdní prostředky a může být využita i jako úložný prostor. Dům je napojen na veškeré inženýrské sítě – kanalizaci, vodovod, plynovod a elektřinu.Poloha nemovitosti je dalším neocenitelným benefitem. V blízkosti se nachází základní školy, dětské hřiště a zeleň, kde si děti mohou hrát a rodiče relaxovat. Roudnice nad Labem, s bohatou nabídkou volnočasových aktivit, nabízí rodinám široké možnosti zábavy a vzdělání.Tento rodinný dům je příležitostí, kterou si určitě nenechte ujít. V případě zájmu o prohlídku nás neváhejte kontaktovat a registrujte se na prohlídkový den. Po jeho absolvování bude spuštěna Aukce, kde budete mít možnost nahrát jednu unikátní nabídku. Uvedená cena v inzerci je minimální akceptovatelná. Vaši nemovitost můžete nabídnout jako protihodnotu. Cena uvedena včetně provize, hypotečního a právního servisu a poplatku za návrh na vklad do katastru nemovitostí.","Prodej domu 85 m², Roudnice nad Labem(ID 024-NP07131)",,Velmi dobrý,"Telefon, Internet",,Přízemní,Domy a vily,https://www.remax-czech.cz/reality/detail/415613/prodej-domu-85-m2-roudnice-nad-labem,Klidná část obce,,Prodávající si vyhrazuje právo vybrat kupujícího na základě jím zvolených kritérií.,85 m²,,Dálkový rozvod,,,103 m²,415613,1cb8b712780e45386ff7ccc1ebaf3c1b355a11a14803a7ac60e74d2c39339a34,,ID 024-NP07131
