GPS coordinates,Images,Price,Property Description,Property Name,URL,balkón,datum nastěhování,dopravní dostupnost,elektřina,energetická náročnost,id,kanalizace,kategorie,komunikace,kraj,listing_hash,lodžie,lokalita,parkování,plocha pozemku,plocha užitná,plocha zastavěná,plyn,podlaží umístění,počet podlaží,rok výstavby,rozvody,sklep,stav objektu,terasa,topení,typ domu,typ stavby,velikost,vlastnictví,voda,výtah,výška stropu,zařízený,zdroj teplé vody,zástavba
N/A,N/A,16 000 Kč / měsíc,"Máme pro vás výjimečnou příležitost stát se nájemcem tohoto úchvatného bytu o dispozici 2+1 s užitnou plochou 56 m², který se nachází v Havanské ulici v Kladně. Tento byt se pyšní nedávnou rekonstrukcí, která mu dodala moderní eleganci a komfort.

Jeho dispozice zahrnuje vstupní chodbu, samostatné WC, koupelnu s prostorným sprchovým koutem, a nadmíru vkusnou kuchyň s novou linkou. To vše doplňuje prostorný obývací pokoj a útulná ložnice. K bytu dále náleží i sklepní kóje.

Tento byt se nachází ve 3. patře zrekonstruovaného bytového domu s novou střechou a plastovými okny, což zajišťuje výjimečnou tepelnou izolaci. 

Kromě toho se nacházíte ve velmi dostupné lokalitě s veškerou občanskou vybaveností, školami, obchody a výborným spojením s veřejnou dopravou. Tento byt vám poskytne komfortní bydlení v klidné a žádané části Kladna.

Pokud máte zájem, neváhejte mě kontaktovat a domluvit si prohlídku.","Pronájem, Byt 2+1, 56 m² - Kladno - Kročehlavy",https://www.century21.cz/nemovitosti/pronajem-byty-pronajem-byt-2+1-56-m²-kladno-krocehlavy-id=bceee01b-24ff-4271-a630-8cabc8429a43,Ne,01. 07. 2025,"Autobus, MHD, Silnice první třídy, Dálnice",220V,G – mimořádně nehospodárná,bceee01b,Veřejná kanalizace,Byty 2+1,Asfaltová,Středočeský kraj,41399bd9652a1aeb1ee3f9a50e5dbfa7bc4fb8d9398595a6a024f0e69b23dc12,,"Havanská 2089, Kladno",Na ulici,,56 m²,,,3. patro (4. NP),6 NP,,"Internet, Telefon, Televize, Kabelové rozvody",Ano,Po rekonstrukci,Ne,,,Cihla,2+1,Osobní,Veřejný vodovod,,,Zařízený,,
N/A,N/A,4 490 000 Kč,"Hledáte klidné a moderní bydlení s dostatkem prostoru pro celou rodinu? Nabízíme k prodeji pečlivě udržovaný rodinný dům o dispozici 4+1 v klidné části obce Trávník, směrem na Trávnické zahrádky.

Klíčové vlastnosti a vybavení
Zastavěná plocha: 139 m²
Zahrada: 261 m² (okrasná i užitková, s letním posezením)
Dispozice: 4+1, s prostorem pro soukromí každého člena rodiny. Možnost rozšíření o půdní vestavbu.
Střecha: Sedlová, krytina z pálených tašek (stáří 17 let).
Moderní vybavení:
Nová koupelna a WC (2024)
Nový bojler (2024)
Nová kuchyňská linka (před 4 lety) – zůstává novým majitelům
Stěna v obývacím pokoji (před 3 lety) – zůstává novým majitelům
Konstrukce: Cihlový dům s tloušťkou zdiva 60-70 cm, částečně izolovaný. Stropy byly citlivě sníženy pro úsporu tepla.
Náklady na bydlení: Přibližně 7 000 Kč měsíčně pro čtyřčlennou rodinu.
Parkování: Přístřešek přímo u domu a další parkovací stání v zahradě.
Dílna: Nově vybudovaná dílna v zahradě (před 2 lety).
Vlastní studna: S užitkovou vodou.
Fasáda: Nová fasáda provedená před 9 lety.
Další informace
Dům je průběžně modernizován a udržován s láskou. Jeho strategická poloha v klidné lokalitě a zároveň s dobrou dostupností činí z této nemovitosti ideální místo pro rodinné bydlení.

Termín nastěhování
Majitelé si připravují nové bydlení, proto je možnost nastěhování ideálně leden 2026, nejpozději březen 2026. Případné zpoždění nelze v tuto chvíli predikovat. Cílem majitelů jsou vánoce v novém.

Energetický štítek bude dodán po vypracování.

Zaujala vás tato nabídka? Pro více informací nebo domluvení prohlídky nás neváhejte kontaktovat.",prodej rodinného domu v Trávníku u Kroměříže,https://www.century21.cz/nemovitosti/prodej-domy-prodej-rodinneho-domu-v-travniku-u-kromerize-id=4b182618-6517-4f37-82d6-23ff2f393ba4,Ne,15. 12. 2025,,220V,G – mimořádně nehospodárná,4b182618,Žumpa,Řadové domy,Asfaltová,Zlínský kraj,2895b603322c5f0cf699823c78ecd68f1cd760b81866a74d3aa27f7629d63c9d,,"Trávník 111, Kroměříž","Kryté, Venkovní",400 m²,92 m²,139 m²,Ano,,1 NP,,,Ne,Velmi dobrý,Ne,Plynové,Jednopodlažní,Cihla,4+1,Osobní,Veřejný vodovod,,,Částečně zařízený,Bojler,
N/A,N/A,28 000 Kč / měsíc,"Exkluzivně nabízíme pronájem bytu 3+kk o ploše 86m2 + 14m2 balkon + garážové stání. Byt se nachází ve 2. podlaží novostavby projektu Britská čtvrť v Praze 5 na pomezí Stodůlek a Třebonic, v ulici Thomasova, v docházkové vzdálenosti od metra B Stodůlky a od nákupní zóny na Zličíně. Byt je orientovaný na jih a západ, má obývací pokoj s kuchyňskou linkou (myčka, trouba, varná deska, digestoř) a dva neprůchozí pokoje. V každém pokoji je klimatizace. V koupelně je vana a příprava na pračku a sušičku. WC samostatně. V předsíni je prostor pro vestavěnou skříň a dále prostorná komora. V bytě jsou detektory kouře. V domě je dále k dispozici kolárna/kočárkárna. Parkování v garážovém stání v domě. Příjemné bydlení s dobrou dostupností metrem do centra i do přírody. Volné od 1.7.2025. V případě zájmu o více informací nebo prohlídku kontaktujte makléře.","Pronájem bytu 3+kk,  86 m² - Praha 5 - Stodůlky",https://www.century21.cz/nemovitosti/pronajem-byty-pronajem-bytu-3+kk-86m²-praha-5-stodulky-id=a41f544b-817e-4467-a0ca-261c2d8d60f9,Ne,Ihned,MHD,220V,B – velmi úsporná,a41f544b,Veřejná kanalizace,Byty 3+kk,,Hlavní město Praha,1654ff8077706cc6dfb1b3314c50d398ddca70a9274da47ed2bd3f033468406c,,"Stodůlky, Praha",Garáž,,86 m²,,,3. patro (4. NP),6 NP,2023,,Ne,Novostavba,Ano (14 m²),,,Cihla,3+kk,Osobní,Veřejný vodovod,Ano,,Částečně zařízený,,
N/A,N/A,40 000 Kč / měsíc,"Nabízíme k dlouhodobému pronájmu kompletně zrekonstruovaný nízkoenergetický pasivní rodinný dům s udržovanou zahradou o rozloze 381 m2. Dispozice domu je 4+kk, má užitnou plochu 120 m2 a nachází se v atraktivní lokalitě Dobřejovic v okrese Praha-východ, Středočeský kraj.

V přízemí tohoto dvoupodlažního domu se rozkládá obývací pokoj propojený s plně vybaveným kuchyňským koutem, obsahující moderní horkovzdušnou troubu, mikrovlnnou troubu, sklokeramickou varnou desku s výsuvnou digestoří a myčku. Součástí obývacího prostoru je také prostorná jídelna s přímým vstupem na zahradu. Pro praktické účely slouží v přízemí komora s pračkou, sušičkou a úložnými regály. Dále zde najdete předsíň s vestavěným botníkem, chodbu a koupelnu se sprchovým koutem a toaletou.

Ve druhém patře se nachází tři pokoje, momentálně využívané jako dvě ložnice a velká šatna. Na tomto podlaží je k dispozici další moderně vybavená koupelna se sprchovým koutem a toaletou.

Dům je vybaven systémem vzduchotechniky a podlahovým vytápěním, dále klimatizací a předokenními žaluziemi pro maximální komfort. Na střeše jsou dva solární panely, které zvyšují energetickou efektivitu domu. Na pozemku se nachází zastřešené parkovací stání pro dvě až tři vozidla, s možností dalšího parkování před domem. Útulná zahrada poskytuje ideální místo pro relaxaci a společné chvíle celé rodiny při posezení pod pergolou, která je obrostlá plodnými vinnými hrozny. Pro děti zároveň představuje bezpečný a podnětný prostor, který je vhodný jak pro hraní, tak pro učení.
Dům je k nastěhování od 15.6.2025.
Měsíční nájem 40.000 Kč. Záloha na služby, které budou ročně vyúčtovány jsou nastaveny takto: 6.000 elektřina, 1.300 voda, 700 popelnice. Vratná kauce 50.000 Kč. Provize RK 40.000 + DPH.

Dobřejovice se nacházejí v okrese Praha-východ, přibližně 18 kilometrů jihovýchodně od centra Prahy a 6 kilometrů západně od Říčan. Lokální obchodní centrum, které je vzdáleno pouhých 1,5 kilometru od domu, nabízí ideální možnosti pro relaxační procházky. Kromě toho jsou Dobřejovice situovány asi 3 kilometry od Čestlic, kde se můžete těšit na aquapark a rozsáhlou nákupní zónu, a navíc zde vede cyklostezka směřující do Průhonic a do známého Průhonického parku. V obci najdete mateřskou školu, poštovní pobočku, obchod a také spojení autobusovou dopravou na stanici metra Opatov pro pohodlný přístup do dalších částí Prahy.",Nízkoenergetický pasivní rodinný dům 4+kk s krásnou zahradou k dlouhodobému pronájmu v Dobřejovicích,https://www.century21.cz/nemovitosti/pronajem-domy-nizkoenergeticky-pasivni-rodinny-dum-4+kk-s-krasnou-zahradou-k-dlouhodobemu-pronajmu-v-dobrejovicich-id=8a49a22a-229c-4720-8e2a-b56be6061610,Ne,15. 06. 2025,,220V,B – velmi úsporná,8a49a22a,Veřejná kanalizace,Rodinné domy,Asfaltová,Středočeský kraj,121a1fca5e30b8b1fc6f1c19180b15dc611e40015d93dfe0ce06a84e29ca5f14,,"Vačkářova 260, Dobřejovice","Na ulici, Venkovní",453 m²,120 m²,72 m²,Ano,přízemí (1. NP),2 NP,,,Ne,Po rekonstrukci,Ano (20 m²),Elektrické,Patrový,Dřevostavba,4+1,Jiné,Veřejný vodovod,,,Částečně zařízený,"Bojler, Elektrický bojler",
N/A,N/A,3 200 000 Kč,"Nabízíme k prodeji byt 2+1 o celkové výměře 52 m² v žádané lokalitě na adrese Komenského, Vlašim. Byt se nachází ve 9. patře udržovaného panelového domu s výtahem a je určen k celkové rekonstrukci.

Dispozice bytu:
- obývací pokoj (18,4 m2)
- ložnice (13m2)
- samostatná kuchyň (9,3m2)
- koupelna a WC (2,5+0,9 m2)
- předsíň (7m2)
- sklepní kóje (1m2)

Možnosti úprav:
- Byt má umakartové jádro, které je vhodné k vybourání a nahrazení moderním zdědným jádrem.
- Příčka mezi obývacím pokojem a ložnicí může být vybourána, čímž lze vytvořit prostorný obývací prostor.
- Celková rekonstrukce nabízí možnost dispozičních změn a modernizace dle požadavků klienta.

Občanská vybavenost Vlašimi:
Město Vlašim nabízí kompletní občanskou vybavenost – naleznete zde mateřské, základní i střední školy, zdravotnická zařízení, obchody, supermarkety, restaurace, kavárny a sportovní vyžití. Nechybí zde pošta, banky a kulturní instituce. Město je dobře dopravně dostupné vlakem i autobusem, což usnadňuje cestování do okolních měst. Benešov 20km, Praha 68km

Byt je v osobním vlastnictví a je ihned k dispozici pro převod a zahájení rekonstrukce.

Pokud vás tato nabídka zaujala a chcete si byt prohlédnout osobně, neváhejte nás kontaktovat pro více informací a sjednání prohlídky.",Byt 2+1 Vlašim,https://www.century21.cz/nemovitosti/prodej-byty-byt-2+1-vlasim-id=b3e4041c-0bf2-42df-bb73-89bc571a948e,Ne,Ihned,"Autobus, MHD, Silnice první třídy, Příměstská doprava, Vlak",220V,G – mimořádně nehospodárná,b3e4041c,Veřejná kanalizace,Byty 2+1,,Středočeský kraj,228e3767f3bcce07be3b68b3aa019ff16209bdeb4cbb3677eda3f7fd6e7ff9af,,"Komenského, Vlašim",Na ulici,,52 m²,,Ano,9. patro (10. NP),12 NP,1980,Internet,Ano (1 m²),Před rekonstrukcí,Ne,,,Panel,2+1,Osobní,Veřejný vodovod,Ano,,Nezařízený,Dálkové vytápění,Velké město
N/A,N/A,3 465 000 Kč,"Moderní byt na investici i na bydlení v obci Hodonice, která je největší vesnicí na okr. Znojmo!

Prodej moderního bytu 2+kk v Hodonicích, situovaný v Jihomoravském kraji v okrese Znojmo, na ulici Panská. Tato lokalita nabízí klid a pohodu zařazenou ve vesnickém prostředí, přičemž v blízkosti nechybí ani veškerá občanská vybavenost.

Bytový dům je navržen jako čtyřpodlažní s výtahem, kdy podzemní podlaží bude sloužit pro parkování. Dům je vkusně zasazený do terénu a poslední patra zaručují krásný výhled do okolní krajiny.

Souhrnný popis:
 Celkem bytů 1. etapy: 14 bytů
 Dispozice: 1+kk až 4+kk
 Uvedený byt: 6A, II. NP, podlahová plocha vč. balkonu 54 m2, užitná plocha bytu 43 m2 + 11 m2 balkon

 K bytu je možnost dokoupit:
 - parkovací stání venkovní / garážové podzemní = 224 000 Kč vč. DPH 
 - sklepní kóje = 39 200 Kč vč. DPH

 - PENB: B
 - podlahové teplovodní vytápění pomocí centrálního tepelného čerpadla
 - příprava na klimatizaci
 - zvýhodněné nabídky dodání a montáže kuchyňské linky přímo od investora
 - balkon bytu není zasklený, ale jeho rozloha umožňuje pohodlné sezení v teplých měsících. Byt je situován ve zděné budově, což zajišťuje dobré izolační 
   vlastnosti a stálý komfort pro bydlení
- nový majitel má možnost využívat výtah v domě, což je velké plus pro pohodlnější přístup. Hypotéka na tento byt je možná, což může usnadnit financování pro 
  potenciální kupce.

Ve standardním provedení každého bytu jsou laminátové podlahy EGGER, obklady a dlažby v koupelně a na toaletě vč. sanity (sprchové kouty s odtokovým žlábkem Walk-In, WC, umyvadlo, baterie, zrcadlo s LED podsvícením), interiérové dveře, bezpečnostní vstupní dveře a okna s trojskly. 

Největší obec na okrese Znojmo nabízí pro své občany všechno, co můžete očekávat od moderní obce, která kulturně i společensky žije.
Vinařská obec Hodonice leží na jižní Moravě v okrese Znojmo. Obec se rozkládá asi 10 kilometrů východně od Znojma a přibližně 11 kilometrů severně od rakouských hranic. Tato oblast je v těsné blízkosti turisticky atraktivního Národního parku Podyjí. 

Obec je dobře dopravně dostupná jak vlakem tak autobusem. Leží na hlavní silnici vedoucí ze Znojma na hraniční přechod Hevlín. Občané i turisté zde disponují dobrou sociální a občanskou vybaveností (praktický lékař, mateřská školka, DPS, kulturní dům, knihovna, sportovní areál, pošta, atd.).

Celým průběhem financování rádi provedeme  např.: prodáváte byt/dům a chtěli byste koupit nový byt? Víme, jak na to!

Budu se moc těšit na vaše zavolání a osobní schůzku!","Prodej bytu 2+kk, 54 m², Hodonice",https://www.century21.cz/nemovitosti/prodej-byty-prodej-bytu-2+kk-54-m2-hodonice-id=ac38869f-87d3-43a2-bb7a-caca1bf45aed,Ano (11 m²),30. 09. 2026,"Autobus, Silnice první třídy, Vlak","220V, 380V",B – velmi úsporná,ac38869f,Veřejná kanalizace,Byty 2+kk,Asfaltová,Jihomoravský kraj,59abff0ad51c52dd9f0b19380b661c71789ad4519e33117387d941ad66d9d8b1,,"Panská, Znojmo","Přidělené, Garáž",1 m²,54 m²,,Není,1. patro (2. NP),4 NP,2025,"Internet, Kabelové rozvody",Ano (3 m²),Novostavba,Ne,Tepelné čerpadlo,,Cihla,2+kk,Osobní,Veřejný vodovod,Ano,,Částečně zařízený,Stejné jako vytápění,Vesnice
N/A,N/A,3 590 000 Kč,"Na pozemku o rozloze 474 m² se nachází přízemní chata s obytným podkrovím o ploše cca 24 m². Přízemí, postavené z kamene, ukrývá kuchyň, koupelnu se sprchovým koutem a WC a také praktický kamenný sklep. Dále je zde obytná místnost, ze které se po sklápěcích schodkách dostanete do 2 menších pokojů.
Vytápění zajišťují kamna, která dodávají interiéru útulnou atmosféru, v obytné místnosti je umístěna klimatizace a přímotopy. Ohřev vody zajišťuje bojler.
Před chatou si můžete užívat chvíle pohody na terase s krbem a posezením. Zahrada je v mírném svahu a nabízí terasovité záhony, ideální pro pěstování bylinek či zeleniny.
Chata je napojena na obecní vodovod a elektřinu, což umožňuje celoroční využití. Dle nového územního plánu je možné chatu dále rozšířit, což otevírá další možnosti pro její využití. K chatě je možný bezproblémový příjezd autem.
Okolí, které vás okouzlí
Kanice jsou malebná obec ležící asi 10 km severovýchodně od Brna, na jižní hranici CHKO Moravský kras. Obklopeny zalesněnými kopci a mírným údolím, nabízejí ideální prostředí pro odpočinek i aktivní rekreaci. 
V obci najdete základní občanskou vybavenost, jako je obchod, restaurace a zastávka autobusu. Díky blízkosti Brna máte zároveň na dosah veškeré služby a možnosti, které město nabízí.
Moravský kras na dosah
Chata se nachází na jižní hranici CHKO Moravský kras, nejrozsáhlejšího krasového území. Tato oblast je známá svými více než 1100 jeskyněmi. 
Kromě jeskyní nabízí Moravský kras také hluboké kaňony, propasti a bohatou faunu a flóru, což z něj činí ideální místo pro milovníky přírody a turistiky. Kdo rád houbaří nebo jezdí na kole, tak si také přijde na své.
Pokud hledáte místo, kde můžete uniknout ruchu města a načerpat novou energii, tato chata v Kanicích je tou pravou volbou. Přijďte se přesvědčit a domluvte si prohlídku.",Prodej chaty na klidném místě v Kanicích u Brna,https://www.century21.cz/nemovitosti/prodej-domy-prodej-chaty-na-klidnem-miste-v-kanicich-u-brna-id=bf530c75-cfb0-4a73-813a-a7945904d7fc,Ne,Ihned,,380V,G – mimořádně nehospodárná,bf530c75,Septik,Chaty,,Jihomoravský kraj,496002a44ed55e056c1a73937d22e8c9b043505a4cd4de7f048e5af98cf431a1,,Kanice,Venkovní,474 m²,45 m²,23 m²,Není,,2 NP,,,Ano,Dobrý,Ne,,Patrový,Smíšená,2+1,Osobní,Veřejný vodovod,,,,,
N/A,N/A,22 800 Kč / měsíc,"Nabízíme Vám úplně nový byt po kompletní rekonstrukci v centru Brna na ulici Panská. Byt má dispozici 2+1 (jeden pokoj průchozí do druhého) a podlahovou plochu 77 m2. Byt je k dispozici od 1.6.2025.

Byt má prostornou chodbu ze které jsou přístupné pokoje, kuchyně, spížka, koupelna s vanou a samostatná toaleta. Ložnice je přístupná z obývacího pokoje, který je průchozí. Kuchyně je vybavena varnou deskou, troubou, lednicí, myčkou a je z ní přístup na balkón. 
K nájmu je nutné připočíst služby v paušálu ve výši 3.882,- Kč ( pro dvě os., každá další os. je + 500 Kč vč. DPH) a elektřina se přepisuje na nájemce (3000 Kč). Služby obsahují odpady, el. společných prostor, výtahy, úklidy, vodné a stočné do výše 40 m3/os./měsíc. Pronajímá se nezařízený.
Jistota je ve výši dvou nájmů 45.600,- Kč a dá se hradit na dvakrát. Provize pro RK je jeden nájem plus 21% DPH.

Pro více informací kontaktujte makléře Petra Vyskočila.","Krásný nový byt po rekonstrukci 2+1, 77 m² na ul. Panská 10",https://www.century21.cz/nemovitosti/pronajem-byty-krasny-novy-byt-po-rekonstrukci-2+1-77-m2-na-ul-panska-10-id=f4850aff-335c-4b68-82c7-a38f8d905e58,Ano (1 m²),Ihned,,,E – nehospodárná,f4850aff,Není,Byty 2+1,,Jihomoravský kraj,3db8fd160ae0f2f343e61f5360d024dd35b6d42e0299524af1981a9db28a49cc,,"Panská 391/12, Brno-město",Na ulici,,77 m²,,,2. patro (3. NP),6 NP,,,Ne,Po rekonstrukci,Ne,,,Cihla,2+1,Osobní,,Ano,3 m,Nezařízený,,
N/A,N/A,1 422 900 €,"Brodarica, stavební pozemek o rozloze 5270 m².Veškerá potřebná infrastruktura se nachází přímo u pozemku. Pozemek lze rozdělit na větší množství parcel.Pozemek má pravidelný tvar, s přibližnými rozměry 100x50 metrů. Má přístup k asfaltové silnici.Pro jakékoliv další informace jsme Vám k dispozici.","Prodej pozemku, 5270 m², Brodarica, Chorvatsko",https://www.century21.cz/nemovitosti/prodej-pozemky-prodej-pozemku-5270-m2-brodarica-chorvatsko-id=d3b0eaf5-cfe3-4668-ae24-d46159da2817,,Ihned,,,,d3b0eaf5,,Stavební pozemky smíšené,,Šibenicko-kninská župa,5d82b7a834a0e22a55a9b4120e2ab96d70dada18b1856f3660166b585ca22b27,,"Ulica Gomnjanik 50, Šibenik",Bez parkování,5 270 m²,,,,,,,,,,,,,Smíšená,Atypický,Osobní,,,,,,
N/A,N/A,3 990 000 Kč,"Relax v srdci Krkonoš! Útulný apartmán v Rokytnici – ideální pro jednotlivce, páry i rodiny!

Představte si romantický víkend ve dvou po dni stráveném na horských túrách. Nebo rodinnou dovolenou plnou lyžování, výletů a smíchu vašich dětí. Tento apartmán v Rokytnici nad Jizerou je ideální základnou pro obojí.

Proč si zamilujete právě tento apartmán?

- Perfektní velikost: Promyšlený prostor o dispozici 1+kk a ploše 27,5 m² nabízí pohodlí pro jednotlivce, páry i menší rodinu (1 až 2 děti).

- Skvělá lokalita: Klidné horské středisko s výbornou dostupností ke sjezdovkám, turistickým trasám i cyklostezkám. 

- Praktické vybavení: plně zařízený apartmán vhodný k okamžitému využití, s manželskou postelí a přistýlkou, plně vybavená kuchyňská linka s mikrovlnou troubou a vestavěnou lednicí s mrazákem, koupelna se sprchovým koutem, úložné prostory, uzamykatelný prostor v 1.PP domu pro uskladnění lyžařského vybavení.

- Investiční potenciál: Díky své atraktivní poloze a velikosti je apartmán skvělou investiční příležitostí pro krátkodobé pronájmy. Nízké celkové měsíční náklady do 1.500 Kč a perfektní správa domu jsou velkým plus. 

- Umístění v domě: V úrovni příjezdové komunikace v blízkosti vchodu ocení jak rodiče s malými dětmi tak hosté se sníženou mobilitou. Výhled je do zeleně.

- Výhody domu: Cihlová novostavba z roku 2014, ústřední centrální vytápění a vlastní zdroj vody, útulná klubová restaurace určená výhradně pro hosty apartmánů. Na slunné terase si v létě můžete vychutnat svoji ranní kávu, děti si užijí dovádění na bezpečném dětském hřišti s pískovištěm a trampolínou přímo u domu. 

- Parkování: na označeném krytém parkovacím stání.

- Financování: V případě preference financování hypotékou Vám ráda pomohu i v procesu jejího zajištění.

Okolí a aktivity:

Dům se nachází v lese nad městem na turisticky značené stezce, ideální pro nenáročné procházky v létě 
s kočárkem i malými dětmi po vrstevnici k nedaleké kapličce (do 20 minut chůze), kde si v zimě běžkaři vychutnají upravené tratě. Asfaltová příjezdová cesta je v zimě průjezdná bez nutnosti použití řetězů. 
 
V Rokytnici jsou k dispozici sjezdovky v celkové délce přes 14km, nejdelší z nich z Lysé hory je zasněžovaná. Vaše děti se mohou naučit lyžovat v pouze 100m vzdáleném areálu Studenov. Využít můžete také nedaleký Harrachov či Paseky, běžkaři uvítají biatlonový areál za hranicemi ve Szklarske Porebe s volně přístupnými trasami a zázemím s restaurací i půjčovnou vybavení. 

V létě oceníte malebné turistické trasy a cyklostezky s úchvatnými výhledy na Krkonoše. Za 10 minut dojdete na náměstí s restauracemi, supermarketem Tesco (otevřený denně), obchody včetně farmářského s lokálními produkty, prodejnou sportovního vybavení, poštou, bankomatem, městským úřadem, zastávkami autobusů a dalšími službami pro váš komfortní pobyt. 

Nenechte si ujít tuto jedinečnou příležitost vlastnit svůj kousek Krkonoš! Zavolejte a přijeďte si apartmán prohlédnout.","Prodej bytu 1+kk 27,5 m²",https://www.century21.cz/nemovitosti/prodej-byty-prodej-bytu-1+kk-27-5-m2-id=c9b8675c-1e02-4439-8882-3fbc9738593b,Ne,Ihned,"Autobus, Osobní auto",220V,G – mimořádně nehospodárná,c9b8675c,Veřejná kanalizace,Byty 1+kk,Asfaltová,Liberecký kraj,f77a088f75d8a512ff0840126de87d89b55accd9621b39e7977fe2f487fe9043,,"Dolní Rokytnice, Rokytnice nad Jizerou",Kryté,,28 m²,,Ano,přízemí (1. NP),3 NP,2014,"ADSL, Kabelové rozvody",Ano (10 m²),Velmi dobrý,Ne,Plynové,,Cihla,1+kk,Osobní,Studna,,2.8 m,Zařízený,,Malé město
