ID,URL,Název nemovitosti,Popis nemovitosti,Cena,Poznámka k ceně,Upozornění,Číslo zakázky,Druh pozemku,Celková plocha,Inženýrské sítě,Typ nemovitosti,Umístění objektu,GPS souřadnice,Obrázky,listing_hash,src_web,ins_dt,upd_dt,del_flag,Poloha objektu,Počet podlaží v objektu,Užitná plocha,Plocha parcely,Druh objektu,Stav objektu,Charakter okolní zástavby,Doprava,Elektřina,Garáž,Odpad,Plocha zahrady,Zastavěná plocha,Počet parkovacích míst,Počet podlaží pod zemí,Telekomunikace,Typ domu,Voda,Vybaveno,Energetická náročnost budovy,Měrná vypočtená roční spotřeba energie v kWh/m²/rok,Dispozice,Číslo podlaží,Podlahová plocha,Vlastnictví,Bezbariérový byt,Plyn,Výtah,K nastěhování,Umístění v chráněných lokalitách,Ostatní rozvody,Rok rekonstrukce
414519,https://www.remax-czech.cz/reality/detail/414519/prodej-bytu-3-1-v-osobnim-vlastnictvi-79-m2-dobruska,"Prodej bytu 3+1 v osobním vlastnictví 79 m², Dobruška(ID 010-NP04790)","Exkluzivní nabídka pěkného, dobře dispozičně řešeného bytu 3+1 se dvěma lodžiemi o celkové ploše 79 m2.Byt v 1.nadzemním podlaží je orientován na 3 světové strany – obývací pokoj (22 m2) se zasklenou lodžií a ložnice (16 m2) s lodžií na J, ložnice (16 m2) na západ a kuchyň na sever.V ložnici jsou velkorysé úložné prostory ve vestavěných skříních. Pěkná kuchyňská linka včetně elektrického sporáku. Koupelna s vanou a s prostorem na pračku, WC samostatně.Vytápění je ústřední, ohřev vody zajištěn elektrickým bojlerem v koupelně.Podlahy – pěkné parkety, dlažba. Možnost ponechání vybavení nábytkem v ceně.K bytu náleží sklep 9,4 m2.Dům je zateplený, má nové vstupní dveře, plastová okna i na chodbách. Nachází se ve slepé ulici, s dobrou možností parkování, v rezidenční čtvrti rodinných domků, v blízkosti rodinného pivovaru a s veškerou občanskou vybaveností v místě.Osobní vlastnictví s možností financování hypotékou. K nastěhování ihned.","4 500 000
																		CZK/ za nemovitost",cena je včetně provize a veškerého právního servisu,Prodávající si vyhrazuje právo vybrat kupujícího na základě jím zvolených kritérií.,ID 010-NP04790,,,,Byty,Klidná část obce,"50°17'46.2""N,16°09'56.8""E",[],665c93c275312514f36f0acf75e35a701febdb4c5c45a2343a699bb25d55c6fd,remax,2025-05-17 20:54:01,2025-05-17 20:54:01,False,,3,79 m²,,Cihlová,Velmi dobrý,,,230 V,,Kanalizace,,438 m²,,,,,Dálkový rozvod,Ano,G,,3+1,1,79 m²,Osobní,,,,,,,
414552,https://www.remax-czech.cz/reality/detail/414552/prodej-bytu-2-kk-v-osobnim-vlastnictvi-58-m2-harrachov,"Prodej bytu 2+kk v osobním vlastnictví 58 m², Harrachov(ID 273-NP03930)","Chcete bydlet tak, že každý den bude vypadat jako dovolená? A zároveň chytře investovat?Pak je tenhle moderní apartmán 2+KK o rozloze 58 m² v srdci Harrachova přesně pro Vás – ať už hledáte místo pro aktivní život s rodinou, víkendovou základnu pro sportovní výlety, nebo stabilní příjem z pronájmu.Byt se nachází v oblíbeném komplexu Resident Harrachov, jen pár minut chůze od centra a skiareálu. Ideální kombinace klidu, přírody a výborné dostupnosti všech služeb.Co vás čeká uvnitř?Slunný obývací prostor (30 m²) propojený s plně vybavenou kuchyníLožnice s výhledem do zeleně (13 m²)Koupelna s vanou (4 m²)prostorná vstupní hala (5 m²)Zastřešená terasa (6 m²) – ideální na relaxSklep a prostorné parkovací stání v podzemní garáži v ceněApartmán je kompletně zařízený – stačí přijet a bydlet (nebo pronajímat)Harrachov je celoročně živé horské město – zima patří lyžování a běžkám, léto cyklovýletům, bobové dráze i horským túrám. Lokalita je dlouhodobě oblíbená u turistů, což z apartmánu dělá i velmi zajímavou investici s možností vysokého výnosu z krátkodobých pronájmů.Ať už hledáte místo pro život, odpočinek nebo výnosnou investici, tenhle apartmán to má všechno.Rád vás přivítám na prohlídce osobně. Možnost financování hypotečním úvěrem – s vyřízením rádi pomůžeme.","7 450 000
																		CZK/ za nemovitost",,Prodávající si vyhrazuje právo vybrat kupujícího na základě jím zvolených kritérií.,ID 273-NP03930,,,,Byty,Klidná část obce,"50°46'38.4""N,15°24'49.8""E",[],63345fad2d28a4bc55b2ee2c0417414b3a5ce4381dcb3309e0ffdf6af56e8227,remax,2025-05-17 20:54:01,2025-05-17 20:54:01,False,,5,58 m²,,Smíšená,Velmi dobrý,Obytná,"Vlak, Silnice, MHD, Autobus",230 V,Ano,Kanalizace,,437 m²,,,Internet,,"Zdroj pro celý objekt, Dálkový rozvod",Ano,G,,2+kk,2,58 m²,Osobní,,Plynovod,Ano,1. 5. 2025,Ochranné pásmo,,
414527,https://www.remax-czech.cz/reality/detail/414527/prodej-ubytovaciho-zarizeni-536-m2-sedlec-prcice,"Prodej ubytovacího zařízení 536 m², Sedlec-Prčice(ID 176-NP01589)","Hledáte prostornou vícegenerační nemovitost vhodnou k bydlení i podnikání?Exkluzivně nabízíme na prodej nemovitost se dvěma domy (jeden čp. 32, druhý bez čp.) v Uhřicích u Sedlce-Prčice, s pozemkem 2.164 m2, nyní využívanou jako zavedený penzion s bydlením majitelů.Pro více informací shlédněte videoprohlídku: https://youtu.be/KhTf2655_D0(Z důvodu obsazení nebyly focené a filmované všechny prostory).Větší dům čp.32 nabízí užitnou plochu obytné části 367 m2 a je rozdělen na prostorný byt pro majitele v přízemí (dispoziční řešení 4+2) a část pro hosty v podkroví, se šesti pokoji se dvěma sdílenými koupelnami a kuchyní a samostatným velkým apartmánem s vlastní koupelnou.Na terasách je 40 m2 venkovního posezení, pod pergolou se nachází i letní kuchyňka, v suterénu pak krásný prostorný sklep s klenutými stropy, s vlastním vstupem (vjezdem) z venku. Prostor sklepa lze po předělání využít i na wellness, tělocvičnu, zasedací místnost, apod.Druhý z domů (blíže k silnici, bez čp.) nabízí užitnou plochu 169 m2 a nachází se v něm tři apartmány s vlastním sociálním zařízením a kuchyňkami, plus prostorná společenská místnost s kachlovými kamny a kuchyňkou, plus za domem zastřešená a uzavíratelná terasa s krbem, plus terasa podél domu. Součástí jednoho z apartmánů je i balkon.Celkem se v domech nachází 17 obytných místností, 9 koupelen, 2 komory na potraviny a úklid, úklidová místnost s pračkami a další..Oba domy prošly významnou rekonstrukcí. Nejprve čp. 32 v roce 2009, v roce 2019 pak menší dům. V roce 2024 bylo do většího domu instalováno tepelné čerpadlo, fotovoltaika na střechu, plus 40 cm foukané izolace, což v kombinaci se zateplením stěn obou domů řadí nemovitost v energetické náročnosti do nejlepší kategorie ,,A“!Oba domy jsou okamžitě obyvatelné a celoročně využívané hosty z celého světa. V teplých měsících přijíždí nejen za vyhřívaným bazénem, či relaxací na udržované zahradě, ale zejména poznávat krásnou okolní krajinu; v zimních měsících pak láká nedaleký SKI areál Monínec.Voda z obecního vodovodu, odpad sveden do ČOV. Vytápění domů zajišťují samostatné plynové kotle, plus nově tepelné čerpadlo ve větším domě. Ohřev vody zajištěn plynovými kotly, el. bojlery a/nebo fotovoltaickými panely.Kompletní občanskou vybavenost naleznete v 1 km vzdálené Sedlci-Prčici – obchody, úřad, poštu, kostely, dobrovolné hasiče. MŠ, ZŠ, ZUŠ, lékaře, lékárnu, atd. Pro děti a neřidiče zajišťuje spojení se světem autobus.Nemovitost je ideální volbou pro vícegenerační rodinu, nebo zájemce o provozování penzionu.Výhradní zastoupení majitele vám dává jistotu klidného a bezpečného průběhu celé transakce. Financování hypotékou, nebo úvěrem můžeme zařídit.","13 700 000
																		CZK/ za nemovitost","Včetně DPH, provize a právních služeb",Prodávající si vyhrazuje právo vybrat kupujícího na základě jím zvolených kritérií.,ID 176-NP01589,,536 m²,,"Hotely, penziony a restaurace",,"49°33'49.2""N,14°31'35.6""E",[],bc10efff542769cbedc9c5e4c7d4f1f1f62b6cac5a432bb81953d44b70c62e53,remax,2025-05-17 20:54:01,2025-05-17 20:54:01,False,,2,536 m²,2 164 m²,Smíšená,Dobrý,,"Silnice, Autobus","230 V, 400 V",,Čistička odpadních vod pro celý objekt,1 701 m²,463 m²,10,1,,Patrový,Dálkový rozvod,Ano,A,49,,,,,Ano,Plynovod,,,,,
414447,https://www.remax-czech.cz/reality/detail/414447/prodej-pozemku-595-m2-kaznejov,"Prodej pozemku 595 m², Kaznějov(ID 179-NP02302)","Nabízíme k prodeji několik pozemků (zahrádek), nacházející se v oplocené zahrádkářské kolonii Osada Pod tratí, v klidné části obce Kaznějov, okres Plzeň-sever. Celková plocha všech pozemků v osobním vlastnictví činí 595 m2, což poskytuje dostatek prostoru pro různé zahradnické aktivity a relaxaci v přírodním prostředí. Zahrádkářská kolonie se nachází v docházkové vzdálenosti od centra obce.Tři hlavní pozemky o celkové výměře 440 m2 tvoří celek s možností umístění drobné stavby k rekreaci nebo skladování nářadí (zahradní chatky, skleníku nebo kolny) a pěstování ovoce a zeleniny. Čtvrtý pozemek o výměře 155 m2 se nachází ob pozemek vedle, kde je umístěn skleník a několik záhonů pro pěstování jahod, cibule, česneku, atd. Na všech pozemcích je i několik plodících ovocných stromů (švestka, hrušeň, jabloň, třešeň, arónie....). Menší části pozemků o celkové výměře 64 m2 navazující na všechny stávající pozemky v osobním vlastnictví patří státnímu pozemkovému úřadu, s nímž má vlastník uzavřenou nájemní smlouvu. Všechny pozemky je možné kompletně oplotit.K dispozici je společný místní zdroj vody, studna, která plní společnou vodovodní nádrž, což usnadňuje zálivku rostlin a údržbu zahrady. Rozvod po pozemku je zajištěn vlastní soustavou hadic. Pozemky mají vlastní připojení k el. energii, k dispozici jsou dvě zásuvky s možností zavedení elektřiny do budoucí chatky. V kolonii je hned u vchodu i společné WC. Parkování je možné u vchodu do oplocené zahrádkářské kolonie, jsou zde dva vchody. Vjezd do kolonie je krátkodobě možný a slouží jen pro vyložení a naložení věcí. K dispozici je společná kolna, kde má každý vlastník vyčleněný svůj prostor pro uskladnění nářadí, sekačky atd.Pozemky, na kterých je umístěna studna, nádrž, společná kolna na uskladnění nářadí a WC jsou v podílovém spoluvlastnictví a budou se převádět na nového vlastníka.Náklady - poplatek zahrádkářské kolonii je ve výši 500 Kč/rok, poplatek za pronájem státních pozemků také 500 Kč/rok, daň z nemovitých věcí na rok 2025 uhrazena ve výši 90 Kč. Spotřeba el. dle platných tarifů a spotřeby.Všechny nabízené pozemky poskytují novému majiteli možnost zajistit si produkci vlastní zeleniny a ovoce, chov drobných zvířat (slepice, králíci) nebo lze pozemky využít jen jako místo pro odpočinek na klidném místě v přírodě poblíž bydliště.Pro bližší informace použijte uvedené kontakty.","560 000
																		CZK/ za nemovitost",včetně provize a právního servisu,Prodávající si vyhrazuje právo vybrat kupujícího na základě jím zvolených kritérií.,ID 179-NP02302,Zahrada,595 m²,Elektřina,Pozemky,Klidná část obce,"49°53'49.1""N,13°23'12""E",[],7e11c30c4ba87c997af8c5ebcfa8c367269b28f93d386eb0a7af2f762283ed96,remax,2025-05-17 20:54:01,2025-05-17 20:54:01,False,,,,,,,,"Vlak, Silnice, Autobus",230 V,,,,,,,,,Zdroj pro celý objekt,,,,,,,,,,,31. 5. 2025,,,
414555,https://www.remax-czech.cz/reality/detail/414555/prodej-bytu-atypicky-v-osobnim-vlastnictvi-2816-m2-januvky,"Prodej bytu atypický v osobním vlastnictví 2816 m², Janůvky(ID 020-NP10188)","Představuji Vám k prodeji usedlost v italském stylu, která může nabízet více využití v obci Janůvky, okr. Svitavy.Video Vás provede částí domu, která je využita k bydlení.Usedlost byla před 25 lety kompletně zrekonstruována, části byly zcela přestavěny nebo dostavěny. Dům je stále využíván k trval. bydlení, tedy je pravidelně udržovaný, rozčleněný na obytnou část, nebyt. část a  relaxační část. Přízemní část domu se sestává z obytné haly (obývac. pokoje) s proskleným výhledem do dvora, pracovny, 2 dětských pokojů, ložnice, koupelny s WC, kuchyně a spíže. V domě jsou v suterénu 2 krásné klenuté sklípky. V celém přízemí je podlahové vytápění, ve velké hale a v pracovně je krb. V celém domě je položena kvalitní dlažba z dovozu (Itálie a Rakouska).Z obytné části se dá vejít do dvora, kde se nachází nebyt. část s kotelnou, WC a umyvadlem. Dvůr je uzavřený, nachází se zde zastřešené podloubí (42,70 m2) podél celé délky vnitřního bazénu, do kterého je vstup ze dvora prosklenými posuvnými dveřmi. Bazén je plně funkční. Na stavbu bazénu navazují další nebyt. prostory, a to: černá kuchyně, ve které se nachází kamna na TP, el. sporák a je zde zavedený přívod SV i TV, dále komora a dvě velké garáže. Na uzavřeném dvorku se dále nachází zastřešený přístřešek 8,30 m2 s posezením u krbu, udírny a pecí na pizzu. Zahrada za domem je pravidelně a krásně udržovaná.Nad celou obytnou částí a bazénem je připravené podkroví na využití dalších obyt. místností. Místnosti jsou již zateplené, s rozvody elektřiny, se stěnami, v některých je již hotová podlaha. Dokončená je část se soc. zař.: masážní vana, WC a dvě umyvadla a plně funkční krb. Celý pozemek je oplocený a nabízí naprosté soukromí.Výtápění domu je ústřední, kotlem na TP, dříve se topilo plynovým vytápěním, které je stále k dispozici. V obci není plynofikace, takže zde byla umístěna nádrž - zásobník. Teplá voda se ohřívá při topení v zásobníku kotlem, když se netopí tak elektřinou. Do domu je zavedena vodovod. přípojka a elektřina vč. motor. proudu. V obci není kanalizace, odpad je svedený do septiku.Výměry: obytná část RD: 185,70 m2, sklepy: 32,47 m2 (jeden 13,77 m2, druhý 18,70 m2), podkroví: 277 m2, nebytové prostory s kotelnou:14,70 m2, bazén: 63 m2, nebytové prostory (černá kuchyně a komora):33,50 m2, dvou garáže: 127,50 m2 (jedna 52,95 m2, druhá 74,55 m2), zastavěná plocha: 1047 m2, plocha zahrad a ostatní plochy: 1769 m2, celková plocha všech pozemků: 2816 m2.PENB se bude zpracovávat, prozatím uvádím třídu „G“.Tato krásná a netradiční nemovitost má své osobité kouzlo a nabízí naprosté soukromí. Momentálně nevyužité podkroví si může každý dotvořit podle svých potřeb a představ. Janůvky jsou malebná malá obec bez občanské vybavenosti, obklopena kopci a lesy, nacházející se v Pardubickém kraji, okrese Svitavy. Nejbližší městečko je Březová nad Svitavou (11 km) a města s veškerou občanskou vybaveností jsou Moravská Třebová (13 km) a Svitavy (22 km). V případě vážného zájmu poskytnu další informace.","16 500 000
																		CZK/ za nemovitost",,Prodávající si vyhrazuje právo vybrat kupujícího na základě jím zvolených kritérií.,ID 020-NP10188,,,,Byty,Klidná část obce,"49°40'18.2""N,16°35'25.8""E",[],ebedb973b1c5d14ad4feddda1aa77c1006d3fd392336f790d56dba552bdc01be,remax,2025-05-17 20:54:01,2025-05-17 20:54:01,False,,2,457 m²,,Smíšená,Po rekonstrukci,,,"230 V, 400 V",Ano,Septik,1 769 m²,1 047 m²,,1,,,Zdroj pro celý objekt,Ano,G,,,1,2 816 m²,Osobní,,,,16. 5. 2025,,,
414502,https://www.remax-czech.cz/reality/detail/414502/prodej-pozemku-553-m2-vyzlovka,"Prodej pozemku 553 m², Vyžlovka(ID 010-NP04788)","Nabízím stavební pozemek s platným stavebním povolením projektu rodinného domu o dispozici 6+1, umístěného v staré části obce v klidné ulici.Celková rozloha pozemku je 535 m2, z toho případná budoucí zastavěná plocha cca 100 m2. Projekt domu je určen pro investiční či rodinné využití a je možné jej upravit podle Vašich představ. Dům má velmi chytře vymyšlenou dispozici s maximálním využitím zastavěné plochy.Dům může disponovat fitness, saunou a bazénem, čímž otevírá příležitost vytvořit si ideální domov podle Vašich osobních představ a potřeb. Součástí projektu je také garáž pro dva vozy.Z terasy je krásný výhled do zahrady a na okolní louky a lesy.V současné době je na pozemku dům, který lze případně kompletně zrekonstruovat či odstranit a využít nabízeného projektu.Dům lze připojit na elektřinu, vodovod a kanalizaci. Na pozemku je také kopaná studna.","6 490 000
																		CZK/ za nemovitost",cena je včetně provize a veškerého právního servisu,Prodávající si vyhrazuje právo vybrat kupujícího na základě jím zvolených kritérií.,ID 010-NP04788,Pro bydlení,553 m²,"Vodovod, Kanalizace, Elektřina",Pozemky,Klidná část obce,"49°59'07.3""N,14°47'25""E",[],d5812f28ed895fa2538e4f43f69d1c0401284507b567074bdedc893f1143cda6,remax,2025-05-17 20:54:01,2025-05-17 20:54:01,False,,,,,,,,,230 V,,Kanalizace,,,,,,,Dálkový rozvod,,,,,,,,,,,,,,
414504,https://www.remax-czech.cz/reality/detail/414504/prodej-domu-263-m2-vyzlovka,"Prodej domu 263 m², Vyžlovka(ID 010-NP04789)","Nabízíme rodinný dům ke kompletní rekonstrukci či odstranění a využití projektu s platným stavebním povolením rodinného domu o dispozici 6+1.Celková rozloha pozemku je 535 m2, současná zastavěná plocha je 174 m2, případná budoucí zastavěná plocha cca 100 m2. Projekt domu má velmi chytře vymyšlenou dispozici s maximálním využitím zastavěné plochy a je určen pro investiční či rodinné využití. Projekt je možné upravit podle Vašich představ.Dům může disponovat fitness, saunou a bazénem, čímž otevírá příležitost vytvořit si ideální domov podle Vašich osobních představ a potřeb. Součástí projektu je také garáž pro dva vozy.Z terasy je krásný výhled do zahrady a na okolní louky a lesy.Dům lze připojit na elektřinu, vodovod a kanalizaci. Na pozemku je také kopaná studna.","6 490 000
																		CZK/ za nemovitost",cena je včetně provize a veškerého právního servisu,Prodávající si vyhrazuje právo vybrat kupujícího na základě jím zvolených kritérií.,ID 010-NP04789,,,,Domy a vily,Klidná část obce,"49°59'07.2""N,14°47'25""E",[],04caf03d595686be3d559d3848a8cce786c3d8d4f0ac992934bdcdb6c936a41b,remax,2025-05-17 20:54:01,2025-05-17 20:54:01,False,Samostatný,2,263 m²,553 m²,Cihlová,Před rekonstrukcí,,,230 V,,Kanalizace,,174 m²,,,,Přízemní,Dálkový rozvod,,C,,,,,,,,,,,,
414501,https://www.remax-czech.cz/reality/detail/414501/prodej-domu-250-m2-korycany,"Prodej domu 250 m², Koryčany(ID 163-NP04966)","Nabízíme k prodeji výjimečnou nemovitost s fungující prodejnou potravin v obci Jestřabice – s možností využití i k bydlení.Nemovitost je aktuálně provozována jako zavedená prodejna potravin, k níž náleží dostatečné skladovací prostory a sociální zázemí. Výhodou je, že celá budova je kolaudována nejen pro komerční účely, ale i pro **ubytování či úpravě možné trvalé bydlení**.Součástí objektu jsou tři pokoje s celkovou kapacitou 6 osob a společné sociální zařízení (sprchy a WC). Dále se zde nachází vybavená kuchyň, příruční sklad a společenský prostor s výčepem – ten může být využit například jako obývací část nebo společenská místnost.Dům je vybaven fotovoltaickým systémem s platnou smlouvou na výkup elektřiny, což výrazně snižuje provozní náklady.Ve dvoře, který je samostatně oddělený, najdete krytý bazén, letní kuchyň, dílnu, garáž a vinný sklep – ideální zázemí jak pro rekreaci, tak pro rozšíření obytné části. Vše je ve velmi dobrém technickém stavu a připraveno k okamžitému užívání.Areál je celý oplocený a uzavřený ocelovou bránou, což poskytuje **naprosté soukromí – ať už hledáte prostor pro podnikání, kombinaci s bydlením, nebo chcete nemovitost přeměnit čistě na rodinné sídlo**.Obec Jestřabice se nachází cca 10 minut od Kyjova a jen 4 km od Koryčan.Fotografie a video vám nabídnou lepší představu o potenciálu této nemovitosti – který je skutečně široký a individuálně přizpůsobitelný. Rádi vám nemovitost osobně představíme a prodiskutujeme možné varianty využití i cenové možnosti.Neváhejte nás kontaktovat!","6 363 000
																		CZK/ za nemovitost",cena je uvedena bez dph,Prodávající si vyhrazuje právo vybrat kupujícího na základě jím zvolených kritérií.,ID 163-NP04966,,,,Domy a vily,,"49°05'32.3""N,17°07'47""E",[],144fa856490a33545ab17694c6cc44662a6508b658aed62762c23a65af3af806,remax,2025-05-17 20:54:01,2025-05-17 20:54:01,False,Řadový,1,250 m²,600 m²,Cihlová,Velmi dobrý,,,"230 V, 400 V",Ano,Kanalizace,,293 m²,3,,,Přízemní,Dálkový rozvod,,G,,,,,,,,,,,,
414202,https://www.remax-czech.cz/reality/detail/414202/prodej-domu-85-m2-nove-hrady,"Prodej domu 85 m², Nové Hrady(ID 343-NP00411)","Nabízíme Vám k prodeji rodinný dům v centru Nových Hradů.Tento krásný a útulný rodinný dům o dispozici 3+KK nabízí užitnou plochu 85 m². Nad rámec této plochy je k dispozici venkovní zázemí s posezením na terase o velikosti 35  m².Díky své rozloze a dispozičnímu řešení je možné prostor v podkroví (dětský pokoj) snadno rozdělit na dvě velké samostatné místnosti dle vlastních potřeb.V tu chvíli Vám vznikne velikost rodinného domu o dispozici 4+KK.Součástí rodinného domu je v přízemí vstupní hala s úložnými prostory, obývací pokoj, ložnice a moderní kuchyně se zimní zahradou, která slouží jako jídelna. Z obývacího pokoje je vstup na terasu a menší zahrádku s terasou.Dále pak koupelna se sprchovým koutem a WC.V podkroví se nachází velký obytný prostor po celé délce domu, aktuálně využívaný jako dětský pokoj.Pod schodištěm je k dispozici technická místnost s bojlerem, elektrickým kotlem, pračkou a sušičkou.Nemovitost prošla kompletní rekonstrukcí v roce 2018 (včetně elektroinstalace, rozvodů vody, izolace, nové střechy, oken a interiéru).Vytápění domu je zajištěno úsporným a efektivním řešením v podobě elektrického podlahového vytápění.Energeticky úsporná okna a kvalitní izolace domu snižují náklady na provoz a zajišťuje moderní a komfortní bydlení.Nyní se zpracovává PENB (průkaz energetické náročnosti budovy). S chybějícím PENB je nemovitost automaticky realitními servery zařazena do energetické třídy G.Nové Hrady se nacházejí v oblasti jižních Čech, obklopené krásnou přírodou a historickými památkami. Toto město nabízí ideální prostředí pro rodinné bydlení.Nemovitost je pouhé 2 minuty chůze od náměstí, kde najdete obchod, poštu a restaurace. V blízkosti je také škola, školka a autobusové nádraží, vše vzdáleno jen 100 metrů.V okolí se můžete těšit na široké možnosti pro aktivní trávení volného času, včetně turistických a cyklistických tras, které vás provedou nádhernou krajinou.Město je známé svým historickým centrem, kde naleznete řadu kulturních památek, včetně zámku Nové Hrady a dalších zajímavostí. V blízkosti se nachází také přírodní rezervace, což ocení milovníci přírody a klidu.Občanská vybavenost je v Nových Hradech velmi dobrá – najdete zde obchody, restaurace, školy, školky a zdravotnická zařízení. Město je dobře dostupné jak automobilem, tak veřejnou dopravou, což zajišťuje pohodlné spojení s okolními městy.Pokud hledáte místo, kde spojíte moderní bydlení s klidným a příjemným životním stylem, tak Nové Hrady jsou ideální volbou!","5 200 000
																		CZK/ za nemovitost",,Prodávající si vyhrazuje právo vybrat kupujícího na základě jím zvolených kritérií.,ID 343-NP00411,,,,Domy a vily,Klidná část obce,"48°47'17.3""N,14°46'49.4""E",[],8c8cfff704c28c863731bc696f50a1eea6bda69dc41f2860799092d168027e8f,remax,2025-05-17 20:54:01,2025-05-17 20:54:01,False,Řadový,2,85 m²,102 m²,Smíšená,Velmi dobrý,Obytná,"Silnice, Autobus",230 V,,Kanalizace,,61 m²,,,"Telefon, Internet",Patrový,"Zdroj pro celý objekt, Dálkový rozvod",Ano,G,,,,,,,,,17. 5. 2025,Ochranné pásmo,Satelit,2018
414559,https://www.remax-czech.cz/reality/detail/414559/prodej-domu-950-m2-praha-5-hlubocepy,"Prodej domu 950 m², Praha 5 - Hlubočepy(ID 020-NP10189)","Objevte kouzlo Barrandovských skal, elegantních vil, zalesněného úbočí a podmanivých výhledů do okolí. Prodáváme naprosto unikátní vilu s košatou filmovou historií. Vila leží na pověstném barrandovském kopci nad Prahou, kde základy Barrandovských studií na počátku 30. let minulého století položili bratři Havlové. Místo se tak brzy stalo vyhledávanou rezidenční lokalitou tehdejších filmových hvězd stříbrného plátna.Samotná historie pozemku a vily se proplétá s legendami filmového světa.  Pozemek si původně vybral filmový magnát Miloš Havel, v té době majitel slavné Pražské Lucerny, pro své syny Ivana a Václava Havla (našeho pozdějšího prezidenta).Samotný dům vyniká exkluzivní polohou – jedná se o jeden z nejlepších pozemků v dané lokalitě. Poskytuje panoramatické výhledy na město, klikatící se řeku a krajinu. Výhledy jsou krásné i během večerů, kdy můžete sledovat zářící světelnou „řeku“ Jižní spojky.Vnitřek domu byl navržen s ohledem na praktičnost a funkční využití prostor a jeden čas hostil rovněž ateliéry Andersenfilmu, kde vznikaly koprodukční, reklamní a animované filmy. V obytné části byly některé apartmány pronajímány díky svým exkluzivním výhledům například ředitelce společnosti Pepsi Cola, či řediteli firmy Globus nebo Siemens.Architektura vily je koncipována tak, že apartmány na různých poschodích mají naprosté soukromí díky nezávislým schodištím a samostatným vchodům. Zajímavostí přitom je, že každé patro navrhovali filmoví architekti pod vedením akademického architekta Ing. Gotze pro co největší variabilitu.V přízemí architekti počítali s vytvořením wellness zázemí, které spojuje ložnici, venkovní bazén, saunu a odpočívárnu. Okolí bazénu bylo využíváno pro natáčení reklamních spotů, organizaci luxusních recepcí a banketů. Na zahradě je také možné vychutnat si posezení u venkovního krbu a rozmanité výhledy z přilehlých teras.Celková zastavěná plocha domu činí přibližně 500 m2. Všechny tři podlaží jsou propojena výtahem a schodišti. V domě se nachází celkem 14 apartmánů. Uvnitř domu a venku pod přístřeškem poblíž výtahu je možnost zaparkovat až 9 automobilů. Celý objekt je chráněn bezpečnostním kamerovým systémem, příjezdová brána je řízena automatikou.S touto vilou si kupujete kus filmové historie a jedno z nejlepších míst na pražském Barrandově.",Cena na vyžádání v kanceláři,,Prodávající si vyhrazuje právo vybrat kupujícího na základě jím zvolených kritérií.,ID 020-NP10189,,,,Domy a vily,Klidná část obce,,[],a16959b8cc36e3eb1dc97e9c1dfa6fed2f56002379a436a1dd473c9f34330306,remax,2025-05-17 20:54:01,2025-05-17 20:54:01,False,Samostatný,3,950 m²,973 m²,Cihlová,Dobrý,,,,,Septik,,215 m²,,,,Patrový,,,G,,,,,,,,,,,,
414544,https://www.remax-czech.cz/reality/detail/414544/prodej-chaty-chalupy-41-m2-opatovice-i,"Prodej chaty / chalupy 41 m², Opatovice I(ID 218-NP06447)","Investiční příležitost – prodej pozemku u rybníka s chatou s věcným bezúplatným břemenem doživotního užívání pro současného majitele (62 let).Podsklepená dřevěná chata o výměře 41 m² se nachází na vlastním pozemku o rozloze 56 m² přímo u Nového Opatovického rybníka. K chatě vede zpevněná cesta, na které je možné parkovat.Chata má zděné základy, ve kterých se nachází sklep. Střecha je plechová, okna původní dřevěná. Vytápění je zajištěno tepelným čerpadlem nebo kamny na dřevo. Současný majitel plánuje výměnu oken a zateplení chaty, aby byla vhodná pro celoroční užívání.Chata je napojena na elektřinu. Není zavedena voda a není vyřešen odpad.Současný majitel si bude i nadále hradit veškeré náklady spojené s užíváním chaty a zajišťovat údržbu a případné opravy.Ideální investice do budoucna – pokud hledáte výhodnou příležitost s potenciálem budoucího využití, neváhejte nás kontaktovat.","450 000
																		CZK/ za nemovitost",,Prodávající si vyhrazuje právo vybrat kupujícího na základě jím zvolených kritérií.,ID 218-NP06447,,41 m²,,Chaty a rekreační objekty,Polosamota,"49°50'53.9""N,15°14'47.6""E",[],d9bc4b004331835fe90c6a67ace948d97664cf1c2723bcec6c795abb6bd446e8,remax,2025-05-17 20:54:01,2025-05-17 20:54:01,False,Řadový,,41 m²,97 m²,Dřevěná,Dobrý,,,"120 V, 230 V",,,,41 m²,,,,Přízemní,,,G,,,,,,,,,,,,
