ID,URL,Název nemovitosti,Popis nemovitosti,Cena,Poznámka k ceně,Upozornění,Číslo zakázky,Druh pozemku,Celková plocha,Inženýrské sítě,Typ nemovitosti,Umístění objektu,GPS souřadnice,Obrázky,listing_hash,Poloha objektu,Počet podlaží v objektu,Užitná plocha,Plocha parcely,Druh objektu,Stav objektu,Doprava,Elektřina,Ostatní rozvody,Zastavěná plocha,Typ domu,Vybaveno,Energetická náročnost budovy,Dispozice,Číslo podlaží,Podlahová plocha,Vlastnictví,K nastěhování,Odpad,Plyn,Rok výstavby,Telekomunikace,Voda,Měrná vypočtená roční spotřeba energie v kWh/m²/rok,Garáž,Počet parkovacích míst,Občanská vybavenost,Rok rekonstrukce,Výtah,Charakter okolní zástavby,Umístění v chráněných lokalitách,Počet podlaží pod zemí,Plocha zahrady,Plocha kanceláří,Vybavení kanceláří,Bezbariérový byt
prodej-bytu-3-kk-v-osobnim-vlastnictvi-95-m2-praha-2-vysehrad,https://www.remax-czech.cz/reality/detail/415367/prodej-bytu-3-kk-v-osobnim-vlastnictvi-95-m2-praha-2-vysehrad,"Prodej bytu 3+kk v osobním vlastnictví 95 m², Praha 2 - Vyšehrad(ID 228-NP02295)","Hledáte prostorný byt s možností úpravy podle vlastních představ? Bytová jednotka č. 23 o dispozici 3+kk a podlahové ploše 87,5 m² se nachází ve 2. nadzemním podlaží zrekonstruovaného domu v Neklanově ulici. Byt je v původním stavu, což nabízí skvělou příležitost vytvořit si domov na míru. K bytu náleží také sklepní kóje o velikosti 4,7 m² umístěná v suterénu a lodžie o velikosti 2,3 m². Okna jsou orientována na jih a sever, díky čemuž byt poskytuje příjemné světlo i klid. Z ulice přichází typická městská atmosféra, zatímco vnitroblok zajišťuje ticho a soukromí.Dům prošel kompletní rekonstrukcí, která zahrnovala renovaci fasády, výmalbu společných prostor a výměnu všech páteřních rozvodů – elektřiny, vody i odpadu. Ve vnitrobloku byl nově vybudován moderní výtah, který zajišťuje pohodlný přístup do všech pater, včetně suterénu. Okna byla odborně repasována, dveře v celém domě, včetně bytových jednotek, jsou zcela nové. Společné prostory domu včetně chodeb, osvětlení, zvonků a poštovních schránek byly revitalizovány tak, aby odpovídaly současným standardům moderního bydlení. Výsledkem je čistý, světlý a voňavý dům, který poskytuje příjemné prostředí pro každodenní život.Bydlení v Neklanově ulici představuje jedinečnou kombinaci klidu a výborné dostupnosti. Lokalita v těsné blízkosti Vyšehradu a Náplavky nabízí bohaté možnosti pro relaxaci, sport i kulturní vyžití. Vyšehradské parky lákají k procházkám a výhledům na Prahu, zatímco Náplavka je oblíbeným místem pro posezení u Vltavy. V okolí najdete TJ Sokol Vyšehrad, Sauny Vltava nebo Plavecký stadion Podolí, které jsou snadno dostupné pěšky nebo tramvají.Dopravní dostupnost je vynikající – stanice metra Karlovo náměstí a tramvajová zastávka se nacházejí v těsné blízkosti domu. Díky blízkosti Barrandovského mostu a pražské Magistrály je lokalita perfektně napojena i pro automobilovou dopravu. Parkování je možné na modré zóně v okolí domu.Neklanova ulice se nachází v lokalitě s bohatou občanskou vybaveností. V blízkosti najdete mateřské, základní i střední školy, stejně jako širokou nabídku obchodů včetně Lidlu a Tesca v pěší vzdálenosti. Milovníci dobrého jídla a kávy ocení nespočet restaurací a kaváren v okolí.Bytová jednotka č. 23 je vhodná jak pro rodinné bydlení, tak i jako investiční příležitost. Díky své poloze a dispozici nabízí možnost přizpůsobit se různým potřebám budoucího majitele. Pokud hledáte nemovitost v atraktivní lokalitě, která vám umožní přizpůsobit si interiér podle vlastních představ, tento byt je skvělou volbou.Rád vám poskytnu veškeré informace a zajistím prohlídku tohoto jedinečného bytu. Neváhejte mě kontaktovat.","12 136 000
																		CZK/ za nemovitost",včetně provize a veškerého právního servisu,Prodávající si vyhrazuje právo vybrat kupujícího na základě jím zvolených kritérií.,ID 228-NP02295,,,,Byty,Centrum obce,"50°04'01.7""N,14°25'06.7""E",N/A,9a198da583c9d8995a7a5a2f20bf37fdeac91cd2dec31e05c97265cc85608408,,5,88 m²,,Cihlová,Po rekonstrukci,"Vlak, Silnice, MHD",230 V,"Kabelová televize, Kabelové rozvody, Ostatní rozvody",,,,C,3+kk,2,95 m²,Osobní,1. 1. 2025,Kanalizace,Plynovod,,"Telefon, Internet",Dálkový rozvod,,,,"Škola, Školka, Zdravotnická zařízení, Pošta, Supermarket, Kompletní síť obchodů a služeb",2024,Ano,Obytná,,1,,,,
prodej-chaty-chalupy-29-m2-besednice,https://www.remax-czech.cz/reality/detail/415400/prodej-chaty-chalupy-29-m2-besednice,"Prodej chaty / chalupy 29 m², Besednice(ID 111-NP08327)","Exkluzivně nabízíme prodej dřevěné chaty v rekreační oblasti Malče. Chata se nachází v malebné lokalitě, v blízkosti tiché řeky Malše, v klidné chatové osadě pouze o deseti chatách. Chata stojí na vlastním pozemku o 382 m2.Do chaty je zavedená elektřina, která je momentálně odpojená. V chatě je k dispozici WC s odpadem svedeným do vyvážecí jímky. Dále je k dispozici kuchyňská linka, umyvadlo, dvě lůžka, jídelní stůl. Vytápění je řešeno malými kamny na tuhá paliva.Chata je momentálně ve stavu vhodná k k nárazovému přespání u vody např. pro rybáře, nebo může být rekonstruována.Pozemek na malebném místě, vybízí i k výstavbě nového objektu.Lokalita je ideální svou dostupností, v dojezdové vzdálenosti od Českých Budějovic, Kaplice, Velešína, Českého Krumlova i Trhových Svinů. V blízkosti je několik turistických tras, vedoucích podél řeky Malše, vyhledávané turistické místo - zřícenina hradu Pořešín nebo rozhledna Slabošovka a Slepičí hory. Místo je ideální pro klidnou rekreaci u řeky pro rybáře, vodáky, rodiny s dětmi, vzhledem k blízkosti dětského tábora a je zde hned několik možností přírodního koupání.I přes blízkost řeky se chata nachází mimo záplavovou oblast.V případě zájmu o nemovitost volejte makléři zakázky či jeho asistentce na tel. čísle +420 775 349 858.","1 200 000
																		CZK/ za nemovitost",,Prodávající si vyhrazuje právo vybrat kupujícího na základě jím zvolených kritérií.,ID 111-NP08327,,29 m²,,Chaty a rekreační objekty,Okraj obce,"48°46'57.7""N,14°30'53.6""E",N/A,61a39aafa12cbfb052cb75da9927deaabf406edbd6ffe80f48900fcb267a053f,Samostatný,1,29 m²,411 m²,Dřevěná,Před rekonstrukcí,"Silnice, Autobus",230 V,,29 m²,Přízemní,Ano,G,,,,,28. 5. 2025,,,,,,,,,,,,Rekreační,,,,,,
prodej-bytu-2-kk-v-osobnim-vlastnictvi-47-m2-praha-4-chodov,https://www.remax-czech.cz/reality/detail/415418/prodej-bytu-2-kk-v-osobnim-vlastnictvi-47-m2-praha-4-chodov,"Prodej bytu 2+kk v osobním vlastnictví 47 m², Praha 4 - Chodov(ID 228-NP02301)","Ubytovací jednotka č. 106 má dispozici 2+kk a podlahovou plochu 46 m². Nachází se v 1. podlaží. Pěkné výhledy nabízí jak vyšší podlaží, tak i ta nižší. Kombinace tradičních a inovativních prvků dává vznik originálnímu bydlení, které ocení mladí i starší.Součástí jednotky je i sklepní kóje o velikosti 1,1 m². Další prostor skýtá pochozí střecha jako vyhlídková terasa a místo k odpočinku. Ubytovací jednotka ve standardu Fit out je dokončena pouze do finálních povrchů včetně sanity a obsahuje přípravné body pro kuchyni. S včasnou koupí získáte možnost vybrat si z několika dokončovacích standardů. Nábytek a vybavení interiéru jsou zcela v režii nového majitele. Kombinace tradičních a inovativních prvků dává vznik originálnímu bydlení, které ocení mladí i starší. Nesčetné příležitosti Skyline budou vyhovovat aktivním jednotlivcům i dvojicím. Koncept pro svou nadčasovost funguje také jako výhodná investice do budoucna.Perspektivou tu lze přímo žít, třeba díky perfektnímu výhledu z pochozí střechy Skyline. Nechybí ani plně vybavená posilovna nebo yogapoint, místnost, kde se dá cvičit jóga nebo cokoliv jiného. Party room tady láká na stolní fotbálek s velkoplošnou televizí, kde se dá sledovat třeba fotbalové utkání. Lounge naproti recepci, která se stará o pohodlí obyvatel, zase umožňuje naživo pozorovat tenisová klání.K aktivitě lokalita Skyline přímo vybízí, třeba k cyklovýletům. Okolní cyklotrasy vedou do přírody i do centra. Kolárna s možností mytí kol tak jistě přijde vhod. Hodit se bude i praktická kočárkárna, stejně jako prádelna a sušárna. Venku je toho ještě víc, mj. ohniště a venkovní odpočinkové zázemí s možností grilování, další sdílený prostor pro budování komunity.Praha 4, Chodov – Chodovec. To je adresa, kde budete mít dobrý pocit z bytí. Ruch města tady ustupuje přírodě a rodinné atmosféře místních podniků. Dálnice D1 a metro C však zaručuje bezproblémovou dopravu po celé Praze. Přímo u domu leží autobusová zastávka Knovízská, odkud se za 9 minut dostanete na metro C Chodov, vzdálené 15 minut metrem od Hlavního nádraží. 5 minut autem to zabere do nákupního centra Chodov, 300 obchodů z něho dělá největší nákupní centrum v Česku. Samozřejmostí jsou prvotřídní služby, stylové restaurace, kavárny nebo kino.Příroda v okolí Skyline nabývá podoby přírodního parku Botič, Hostivařského lesoparku nebo Sadů zahradnické mládeže. Voda se zhmotňuje do Košíkovských nádrží a Košíkovského potoka. Relaxační procházky či věnčení mazlíčků si tady můžete dopřávat do sytosti, stejně jako vodní sporty, na které zve Hostivařská přehrada nebo aquapark Jedenáctka Chodov. Leží nedaleko turistické trasy z Kateřinek přes Křeslice do Újezda, se začátkem u metra C Opatov.Více informací naleznete na webu projektu - www.filipvorlicek.cz/skyline-chodov.","5 772 000
																		CZK/ za nemovitost",vč. provize RK a právního servisu,Prodávající si vyhrazuje právo vybrat kupujícího na základě jím zvolených kritérií.,ID 228-NP02301,,,,Byty,Klidná část obce,"50°02'30.5""N,14°29'56""E",N/A,4d0c2962c46d3a9273e6735351ce38ed284229532581e6d6bb1bb828a8b99c78,,8,46 m²,,Panelová,Po rekonstrukci,"Dálnice, Silnice, MHD, Autobus",230 V,"Kabelová televize, Kabelové rozvody",,,,C,2+kk,1,47 m²,Osobní,1. 6. 2025,Kanalizace,Plynovod,,"Telefon, Internet",Dálkový rozvod,154,,,"Škola, Školka, Zdravotnická zařízení, Pošta, Supermarket, Kompletní síť obchodů a služeb",2022,Ano,,,,,,,
prodej-bytu-1-1-v-osobnim-vlastnictvi-43-m2-praha-1-nove-mesto,https://www.remax-czech.cz/reality/detail/415394/prodej-bytu-1-1-v-osobnim-vlastnictvi-43-m2-praha-1-nove-mesto,"Prodej bytu 1+1 v osobním vlastnictví 43 m², Praha 1 - Nové Město(ID 205-NP11539)","Byt 1+1 před rekonstrukcí o ploše 43,1 m2 v 1. NP pěti podlažního domu v cihlovém domě ve velmi žádané lokalitě Prahy 1.Bydlení v ulici Pštrossova znamená život v samém srdci historické Prahy, doslova pár kroků od Národní třídy, Vltavy a kultovního Národního divadla. Tato klidná jednosměrná ulice si uchovává svůj rezidenční charakter, i když je obklopena vším, co centrum metropole nabízí.Tato nemovitost může být bezpečnou investiční příležitostí s dlouhodobě stabilním výnosem nebo prestižním bydlením v oblíbené části Nového Města. Byt nabízí obývací prostor s kuchyní, ložnici, koupelnu, WC a vstupní chodbu.Výměry místností: obývací pokoj s kuchyní 19,6 m2, pokoj 15,8 m2, předsíň 3,2 m2, WC 1 m2, koupelna 3,5 m2.V bezprostředním okolí se nachází veškerá občanská vybavenost, oblíbené kavárny a stylové podniky s nezaměnitelnou atmosférou – například legendární Café Louvre nebo podniky na náplavce. Pár kroků od domu se rozprostírá Národní třída s přímým napojením na metro a tramvajové linky, což zajišťuje vynikající dopravní dostupnost. Na dosah jsou také kulturní instituce jako Národní divadlo, Nová scéna či galerie Mánes.Milovníci aktivního odpočinku ocení blízkost Vltavy a pražské náplavky, která láká k procházkám, sportu i posezení u vody. V okolí najdete také butiky, knihkupectví, školy i zdravotní péči, což činí tuto lokalitu ideální nejen pro život, ale i jako investici.Osobní vlastnictví, lze financovat hypotékou. Ukazatel energetické náročnosti: G* (PENB není k dispozici. Pokud bude dodán, bude údaj aktualizován).","8 500 000
																		CZK/ za nemovitost",,Prodávající si vyhrazuje právo vybrat kupujícího na základě jím zvolených kritérií.,ID 205-NP11539,,,,Byty,Centrum obce,"50°04'40.5""N,14°24'56.5""E",N/A,68b60a7783d47d009229e13e3a5b452772a69ef2ad275a4ae1a63975c4098693,,5,43 m²,,Cihlová,Před rekonstrukcí,,,,,,,G,1+1,1,43 m²,Osobní,,Kanalizace,Plynovod,,,,,,,,,,Obchodní a obytná,,,,,,
prodej-garaze-20-m2-as,https://www.remax-czech.cz/reality/detail/415383/prodej-garaze-20-m2-as,"Prodej garáže 20 m², Aš(ID 251-NP00893)","Ve výhradním zastoupení majitele nabízíme k prodeji řadovou garáž, která je připojena na elektřinu. Technický stav je perfektní. Garáž se nachází na ulici Mydlářská v Aši. Najít garáž v této lokalitě je takřka nemožné.Více informací po telefonu.","459 999
																		CZK/ za nemovitost",,Prodávající si vyhrazuje právo vybrat kupujícího na základě jím zvolených kritérií.,ID 251-NP00893,,20 m²,,"Malé objekty, garáže",,"50°12'43.3""N,12°11'48.6""E",N/A,9647b3e640a21f61bef3dfdd716c94900f5b124036f5f5bb5f15a4164b563020,,,20 m²,,Cihlová,Velmi dobrý,"Vlak, Silnice, Autobus",,,20 m²,Přízemní,,,,,,,28. 5. 2025,,,,,,,,,,,,,,,,,,
prodej-bytu-3-1-v-osobnim-vlastnictvi-97-m2-praha-10-hostivar,https://www.remax-czech.cz/reality/detail/415388/prodej-bytu-3-1-v-osobnim-vlastnictvi-97-m2-praha-10-hostivar,"Prodej bytu 3+1 v osobním vlastnictví 97 m², Praha 10 - Hostivař(ID 228-NP02298)","Bytová jednotka č. 25 s dispozicí 3+1 a velkorysou plochou 81,9 m² se nachází v 2. podlaží a je orientována na jih. Díky tomu je po celý den krásně prosvětlená a nabízí příjemný výhled do zeleně.K bytu náleží sklepní kóje o velikosti 2,5 m² a vlastní parkovací stání o velikosti 12,5 m².Obyvatelé domu mohou využívat společnou zahradu, která nabízí jak zpevněnou část ideální pro posezení na slunci, tak nezpevněný prostor vhodný pro zahradničení. Milovníci přírody a čerstvých surovin zde mohou pěstovat vlastní zeleninu, bylinky nebo květiny.Dům, ve kterém se byt nachází, je dílem architekta Bohumila Hübsmanna a stojí na rohu ulic U Pekáren a Dolnoměcholupská. Již v roce 1919 zde pravděpodobně začalo fungovat legendární Bio Svět, které bylo součástí bohaté filmové historie této lokality. Filmové prostředí zde žije dodnes – v sousedství se nacházejí filmové ateliéry a moderní obchodní a zábavní centrum VIVO! Hostivař. Na dosah jsou tak nejen filmové zážitky, ale i skvělé restaurace, kavárny a široká nabídka obchodů.Hostivař spojuje výbornou dopravní dostupnost s klidem a blízkostí přírody. Nedaleký přírodní park Hostivař s Hostivařskou přehradou nabízí široké možnosti pro sport, procházky i odpočinek.Dopravní infrastruktura v této lokalitě je velmi dobře řešená. Vlak, autobus i tramvaj mají přímé spojení na stanice metra Depo Hostivař a Chodov. Jen pár minut chůze se nachází vlakové nádraží Praha-Hostivař, autobusová stanice U Továren a tramvajová zastávka Nádraží Hostivař. Snadný přístup k hlavním tahům zajišťuje Průmyslová ulice, která propojuje Hostivař s ostatními částmi Prahy.Tento byt nabízí jedinečné spojení historie, moderního bydlení a skvělé dostupnosti.Pro více informací a domluvení prohlídky mě neváhejte kontaktovat.","8 172 000
																		CZK/ za nemovitost",,Prodávající si vyhrazuje právo vybrat kupujícího na základě jím zvolených kritérií.,ID 228-NP02298,,,,Byty,,"50°03'19.7""N,14°32'21.8""E",N/A,aa2df3c6dd0c26968b9434afbc25b819474849755afa58998dbd3fe015df8ae5,,3,82 m²,,Smíšená,Před rekonstrukcí,"Vlak, Dálnice, Silnice, MHD, Autobus",230 V,"Kabelová televize, Kabelové rozvody",,,,D,3+1,1,97 m²,Osobní,1. 6. 2025,Kanalizace,Plynovod,1 945,"Telefon, Internet",Dálkový rozvod,145,,1,,,,,,,,,,
prodej-bytu-3-kk-v-osobnim-vlastnictvi-92-m2-praha-2-vysehrad,https://www.remax-czech.cz/reality/detail/415372/prodej-bytu-3-kk-v-osobnim-vlastnictvi-92-m2-praha-2-vysehrad,"Prodej bytu 3+kk v osobním vlastnictví 92 m², Praha 2 - Vyšehrad(ID 228-NP02294)","Hledáte prostorný byt s možností úpravy podle vlastních představ? Bytová jednotka č. 33 o dispozici 2+kk a podlahové ploše 90,3 m² se nachází ve 4. nadzemním podlaží zrekonstruovaného domu v Neklanově ulici. Byt je v původním stavu, což nabízí skvělou příležitost vytvořit si domov na míru. K bytu náleží také sklepní kóje o velikosti 5,3 m² umístěná v suterénu a lodžie o velikosti 2,3 m². Okna jsou orientována na jih a sever, díky čemuž byt poskytuje příjemné světlo i klid. Z ulice přichází typická městská atmosféra, zatímco vnitroblok zajišťuje ticho a soukromí.Dům prošel kompletní rekonstrukcí, která zahrnovala renovaci fasády, výmalbu společných prostor a výměnu všech páteřních rozvodů – elektřiny, vody i odpadu. Ve vnitrobloku byl nově vybudován moderní výtah, který zajišťuje pohodlný přístup do všech pater, včetně suterénu. Okna byla odborně repasována, dveře v celém domě, včetně bytových jednotek, jsou zcela nové. Společné prostory domu včetně chodeb, osvětlení, zvonků a poštovních schránek byly revitalizovány tak, aby odpovídaly současným standardům moderního bydlení. Výsledkem je čistý, světlý a voňavý dům, který poskytuje příjemné prostředí pro každodenní život.Bydlení v Neklanově ulici představuje jedinečnou kombinaci klidu a výborné dostupnosti. Lokalita v těsné blízkosti Vyšehradu a Náplavky nabízí bohaté možnosti pro relaxaci, sport i kulturní vyžití. Vyšehradské parky lákají k procházkám a výhledům na Prahu, zatímco Náplavka je oblíbeným místem pro posezení u Vltavy. V okolí najdete TJ Sokol Vyšehrad, Sauny Vltava nebo Plavecký stadion Podolí, které jsou snadno dostupné pěšky nebo tramvají.Dopravní dostupnost je vynikající – stanice metra Karlovo náměstí a tramvajová zastávka se nacházejí v těsné blízkosti domu. Díky blízkosti Barrandovského mostu a pražské Magistrály je lokalita perfektně napojena i pro automobilovou dopravu. Parkování je možné na modré zóně v okolí domu.Neklanova ulice se nachází v lokalitě s bohatou občanskou vybaveností. V blízkosti najdete mateřské, základní i střední školy, stejně jako širokou nabídku obchodů včetně Lidlu a Tesca v pěší vzdálenosti. Milovníci dobrého jídla a kávy ocení nespočet restaurací a kaváren v okolí.Bytová jednotka č. 43 je vhodná jak pro rodinné bydlení, tak i jako investiční příležitost. Díky své poloze a dispozici nabízí možnost přizpůsobit se různým potřebám budoucího majitele. Pokud hledáte nemovitost v atraktivní lokalitě, která vám umožní přizpůsobit si interiér podle vlastních představ, tento byt je skvělou volbou.Rád vám poskytnu veškeré informace a zajistím prohlídku tohoto jedinečného bytu. Neváhejte mě kontaktovat.","13 113 000
																		CZK/ za nemovitost",včetně provize a veškerého právního servisu,Prodávající si vyhrazuje právo vybrat kupujícího na základě jím zvolených kritérií.,ID 228-NP02294,,,,Byty,Centrum obce,"50°04'01.7""N,14°25'06.7""E",N/A,b6162ecfcac665a7e529ed896e581fce48e769d92df339ec249339f6ee1a61ac,,5,90 m²,,Cihlová,Před rekonstrukcí,"Vlak, Silnice, MHD",230 V,"Kabelová televize, Kabelové rozvody, Ostatní rozvody",,,,C,3+kk,3,92 m²,Osobní,1. 6. 2025,Kanalizace,Plynovod,,"Telefon, Internet",Dálkový rozvod,,,,"Škola, Školka, Zdravotnická zařízení, Pošta, Supermarket, Kompletní síť obchodů a služeb",2024,Ano,Obytná,,1,,,,
prodej-domu-372-m2-buzice,https://www.remax-czech.cz/reality/detail/415395/prodej-domu-372-m2-buzice,"Prodej domu 372 m², Buzice(ID 202-NP02973)","Exkluzivně nabízím k prodeji venkovskou usedlost s obytným stavením na něj navazují maštalí, samostatnou stodolou a čtyřgaráží s přístřeškem. Jde o udržovanou moderně zrekonstruovanou venkovskou usedlost ve velmi dobrém stavu.Dům byl postaven přibližně před 160 lety, v letech 1998-2000 prošel zásadní kompletní rekonstrukcí včetně zbudování obytného podkroví. Dispozice přízemí zahrnuje vstupní halu se schodištěm, vlevo obytnou místnost s kuchyňským koutem, do zahrady přistavenou pracovnu s krytou terasou, v centrální části prádelnu, technickou místnost, sociální zařízení, vlevo sedlovnu a na ní navazující stáje-propojení s maštalí. V podkroví je hala u schodiště, vlevo ložnice s vlastním sociální zařízením, vpravo ložnice s vlastním sociálním zařízením a za ní víceúčelová podkrovní místnost.Topení je ústřední napojené na tepelné čerpadlo, ohřev vody solárními kolektory s bojlerem, v obytné místnosti v přízemí je krb.Přijďte se podívat na Vaši novou opravdu zajímavou příležitost.","11 700 000
																		CZK/ za nemovitost",,Prodávající si vyhrazuje právo vybrat kupujícího na základě jím zvolených kritérií.,ID 202-NP02973,,,,Domy a vily,Klidná část obce,"49°25'22.8""N,13°55'43.9""E",N/A,d8819247c539c5847a597f1167c40b547722223cb22c7c3cfd4e9c8b7d307a95,Samostatný,2,372 m²,5 995 m²,Cihlová,Velmi dobrý,,,,363 m²,Přízemní,,G,,,,,,,,,,,,,,,,,,,,,,,
prodej-pozemku-610-m2-nezdenice,https://www.remax-czech.cz/reality/detail/415377/prodej-pozemku-610-m2-nezdenice,"Prodej pozemku 610 m², Nezdenice(ID 268-NP03057)","Exkluzivně nabízíme k prodeji hezký rovinatý pozemek (označen ""F"") o výměře 610 m² v obci Nezdenice.Pozemek má obdélníkový tvar a je ideální pro výstavbu rodinného domu. Velkou výhodou této nabídky je, že cena zahrnuje nejen samotný pozemek, ale také vybudování příjezdové cesty a připojení na elektřinu a kanalizaci. Pozemek se nachází v klidné lokalitě s dobrou dostupností a nabízí příjemné prostředí pro bydlení i rekreaci. Pokud hledáte místo pro svůj nový domov nebo zajímavou investici, neváhejte mě kontaktovat pro více informací.Nezdenice jsou obec v okrese Uherské Hradiště ve Zlínském kraji. Žije zde přes 700 obyvatel.Obec leží 8 km od Uherského Brodu, 19 km od Luhačovic.","1 342 000
																		CZK/ za nemovitost",Uvedená cena je konečná. Provizi RK platí prodávající,Prodávající si vyhrazuje právo vybrat kupujícího na základě jím zvolených kritérií.,ID 268-NP03057,Pro bydlení,610 m²,"Vodovod, Kanalizace, Elektřina",Pozemky,Klidná část obce,"49°00'50.7""N,17°45'14.8""E",N/A,d6a410c5960f1a3a10e2ab3a29e5dfd4891de5404d65b2e06f259d763e923cf0,,,,,,,,"230 V, 400 V",Kabelová televize,,,,,,,,,,Kanalizace,,,Internet,,,,,,,,,,,,,,
prodej-bytu-2-kk-v-osobnim-vlastnictvi-71-m2-praha-2-vysehrad,https://www.remax-czech.cz/reality/detail/415368/prodej-bytu-2-kk-v-osobnim-vlastnictvi-71-m2-praha-2-vysehrad,"Prodej bytu 2+kk v osobním vlastnictví 71 m², Praha 2 - Vyšehrad(ID 228-NP02293)","Hledáte prostorný byt s možností úpravy podle vlastních představ? Bytová jednotka č. 43 o dispozici 2+kk a podlahové ploše 65,1 m² se nachází ve 4. nadzemním podlaží zrekonstruovaného domu v Neklanově ulici. Byt je v původním stavu, což nabízí skvělou příležitost vytvořit si domov na míru. K bytu náleží také sklepní kóje o velikosti 3,1 m² umístěná v suterénu a lodžie o velikosti 2,3 m². Okna jsou orientována na jih a sever, díky čemuž byt poskytuje příjemné světlo i klid. Z ulice přichází typická městská atmosféra, zatímco vnitroblok zajišťuje ticho a soukromí.Dům prošel kompletní rekonstrukcí, která zahrnovala renovaci fasády, výmalbu společných prostor a výměnu všech páteřních rozvodů – elektřiny, vody i odpadu. Ve vnitrobloku byl nově vybudován moderní výtah, který zajišťuje pohodlný přístup do všech pater, včetně suterénu. Okna byla odborně repasována, dveře v celém domě, včetně bytových jednotek, jsou zcela nové. Společné prostory domu včetně chodeb, osvětlení, zvonků a poštovních schránek byly revitalizovány tak, aby odpovídaly současným standardům moderního bydlení. Výsledkem je čistý, světlý a voňavý dům, který poskytuje příjemné prostředí pro každodenní život.Bydlení v Neklanově ulici představuje jedinečnou kombinaci klidu a výborné dostupnosti. Lokalita v těsné blízkosti Vyšehradu a Náplavky nabízí bohaté možnosti pro relaxaci, sport i kulturní vyžití. Vyšehradské parky lákají k procházkám a výhledům na Prahu, zatímco Náplavka je oblíbeným místem pro posezení u Vltavy. V okolí najdete TJ Sokol Vyšehrad, Sauny Vltava nebo Plavecký stadion Podolí, které jsou snadno dostupné pěšky nebo tramvají.Dopravní dostupnost je vynikající – stanice metra Karlovo náměstí a tramvajová zastávka se nacházejí v těsné blízkosti domu. Díky blízkosti Barrandovského mostu a pražské Magistrály je lokalita perfektně napojena i pro automobilovou dopravu. Parkování je možné na modré zóně v okolí domu.Neklanova ulice se nachází v lokalitě s bohatou občanskou vybaveností. V blízkosti najdete mateřské, základní i střední školy, stejně jako širokou nabídku obchodů včetně Lidlu a Tesca v pěší vzdálenosti. Milovníci dobrého jídla a kávy ocení nespočet restaurací a kaváren v okolí.Bytová jednotka č. 43 je vhodná jak pro rodinné bydlení, tak i jako investiční příležitost. Díky své poloze a dispozici nabízí možnost přizpůsobit se různým potřebám budoucího majitele. Pokud hledáte nemovitost v atraktivní lokalitě, která vám umožní přizpůsobit si interiér podle vlastních představ, tento byt je skvělou volbou.Rád vám poskytnu veškeré informace a zajistím prohlídku tohoto jedinečného bytu. Neváhejte mě kontaktovat.","9 595 000
																		CZK/ za nemovitost",včetně provize a veškerého právního servisu,Prodávající si vyhrazuje právo vybrat kupujícího na základě jím zvolených kritérií.,ID 228-NP02293,,,,Byty,Centrum obce,"50°04'01.7""N,14°25'06.7""E",N/A,c07050909bcc9abbd48b13b6549195ac175d1c0d171f9c8d6626e2dac03fdf4d,,5,65 m²,,Cihlová,Před rekonstrukcí,"Vlak, Silnice, MHD",230 V,"Kabelová televize, Kabelové rozvody, Ostatní rozvody",,,,C,2+kk,4,71 m²,Osobní,1. 6. 2025,Kanalizace,Plynovod,,"Telefon, Internet",Dálkový rozvod,,,,"Škola, Školka, Zdravotnická zařízení, Pošta, Supermarket, Kompletní síť obchodů a služeb",2024,Ano,Obytná,,1,,,,
